Pairings per batch: 25 (5 LLMs × incl self)
Folder 'Negotiation Real LLM v1' = folder_97
Total episodes: 200 (8 batches × 25 pairings)
  [1/200] ok batch=1 GPT-5.4vsPro     seed=154 attempts=1 18.6s save_slot_5194 
  [2/200] ok batch=1 GPT-5.4vsGPT-5.4 seed=151 attempts=1 22.6s save_slot_5193 
  [3/200] ok batch=1 GPT-5.4vsOpus    seed=153 attempts=1 30.7s save_slot_5192 
  [4/200] ok batch=1 GPT-5.4vsGrok    seed=152 attempts=1 34.7s save_slot_5191 
  [5/200] ok batch=1 GPT-5.4vsLlama   seed=155 attempts=1 22.5s save_slot_5195 
  [6/200] ok batch=1    GrokvsGPT-5.4 seed=156 attempts=1 22.5s save_slot_5196 
  [7/200] ok batch=1    GrokvsOpus    seed=158 attempts=1 22.5s save_slot_5198 
  [8/200] ok batch=1    GrokvsGrok    seed=157 attempts=1 38.7s save_slot_5197 
  [9/200] ok batch=1    GrokvsLlama   seed=160 attempts=1 30.5s save_slot_5200 
  [10/200] ok batch=1    GrokvsPro     seed=159 attempts=1 34.6s save_slot_5199 
  [11/200] ok batch=1    OpusvsGPT-5.4 seed=161 attempts=1 30.8s save_slot_5201 
  [12/200] ok batch=1    OpusvsPro     seed=164 attempts=1 18.5s save_slot_5204 
  [13/200] ok batch=1    OpusvsGrok    seed=162 attempts=1 38.8s save_slot_5202 
  [14/200] ok batch=1    OpusvsOpus    seed=163 attempts=1 38.8s save_slot_5203 
  [15/200] ok batch=1     ProvsGPT-5.4 seed=166 attempts=1 22.5s save_slot_5206 
  [16/200] ok batch=1    OpusvsLlama   seed=165 attempts=1 38.8s save_slot_5205 
  [17/200] ok batch=1     ProvsOpus    seed=168 attempts=1 18.3s save_slot_5208 
  [18/200] ok batch=1     ProvsPro     seed=169 attempts=1 18.4s save_slot_5209 
  [19/200] ok batch=1     ProvsLlama   seed=170 attempts=1 18.4s save_slot_5210 
  [20/200] ok batch=1     ProvsGrok    seed=167 attempts=1 38.8s save_slot_5207 
  [21/200] ok batch=1   LlamavsGPT-5.4 seed=171 attempts=1 18.5s save_slot_5211 
  [22/200] ok batch=1   LlamavsGrok    seed=172 attempts=1 30.6s save_slot_5212 
  [23/200] ok batch=1   LlamavsPro     seed=174 attempts=1 26.5s save_slot_5214 
  [24/200] ok batch=1   LlamavsLlama   seed=175 attempts=1 22.5s save_slot_5215 
  [25/200] ok batch=1   LlamavsOpus    seed=173 attempts=1 34.8s save_slot_5213 
  [26/200] ok batch=2 GPT-5.4vsGrok    seed=177 attempts=1 14.4s save_slot_5217 
  [27/200] ok batch=2 GPT-5.4vsGPT-5.4 seed=176 attempts=1 22.5s save_slot_5216 
  [28/200] ok batch=2 GPT-5.4vsOpus    seed=178 attempts=1 18.4s save_slot_5218 
  [29/200] ok batch=2 GPT-5.4vsPro     seed=179 attempts=1 14.3s save_slot_5219 
  [30/200] ok batch=2 GPT-5.4vsLlama   seed=180 attempts=1 18.4s save_slot_5220 
  [31/200] ok batch=2    GrokvsGPT-5.4 seed=181 attempts=1 34.8s save_slot_5221 
  [32/200] ok batch=2    GrokvsGrok    seed=182 attempts=1 34.6s save_slot_5222 
  [33/200] ok batch=2    GrokvsOpus    seed=183 attempts=1 46.9s save_slot_5223 
  [34/200] ok batch=2    GrokvsPro     seed=184 attempts=1 42.8s save_slot_5224 
  [35/200] ok batch=2    OpusvsGPT-5.4 seed=186 attempts=1 26.5s save_slot_5226 
  [36/200] ok batch=2    GrokvsLlama   seed=185 attempts=1 30.7s save_slot_5225 
  [37/200] ok batch=2    OpusvsPro     seed=189 attempts=1 18.4s save_slot_5229 
  [38/200] ok batch=2    OpusvsGrok    seed=187 attempts=1 38.8s save_slot_5227 
  [39/200] ok batch=2     ProvsGPT-5.4 seed=191 attempts=1 14.4s save_slot_5231 
  [40/200] ok batch=2    OpusvsLlama   seed=190 attempts=1 38.7s save_slot_5230 
  [41/200] ok batch=2     ProvsGrok    seed=192 attempts=1 18.5s save_slot_5232 
  [42/200] ok batch=2    OpusvsOpus    seed=188 attempts=1 50.9s save_slot_5228 
  [43/200] ok batch=2     ProvsOpus    seed=193 attempts=1 18.4s save_slot_5233 
  [44/200] ok batch=2     ProvsPro     seed=194 attempts=1 22.5s save_slot_5234 
  [45/200] ok batch=2     ProvsLlama   seed=195 attempts=1 18.5s save_slot_5235 
  [46/200] ok batch=2   LlamavsGPT-5.4 seed=196 attempts=1 22.5s save_slot_5236 
  [47/200] ok batch=2   LlamavsGrok    seed=197 attempts=1 30.6s save_slot_5237 
  [48/200] ok batch=2   LlamavsOpus    seed=198 attempts=1 22.5s save_slot_5238 
  [49/200] ok batch=2   LlamavsLlama   seed=200 attempts=1 22.5s save_slot_5240 
  [50/200] ok batch=2   LlamavsPro     seed=199 attempts=1 30.7s save_slot_5239 
  [51/200] ok batch=3 GPT-5.4vsGPT-5.4 seed=201 attempts=1 18.4s save_slot_5241 
  [52/200] ok batch=3 GPT-5.4vsGrok    seed=202 attempts=1 22.5s save_slot_5242 
  [53/200] ok batch=3 GPT-5.4vsPro     seed=204 attempts=1 18.4s save_slot_5244 
  [54/200] ok batch=3 GPT-5.4vsLlama   seed=205 attempts=1 14.3s save_slot_5245 
  [55/200] ok batch=3 GPT-5.4vsOpus    seed=203 attempts=1 34.6s save_slot_5243 
  [56/200] ok batch=3    GrokvsGPT-5.4 seed=206 attempts=1 34.8s save_slot_5246 
  [57/200] ok batch=3    GrokvsGrok    seed=207 attempts=1 30.6s save_slot_5247 
  [58/200] ok batch=3    GrokvsOpus    seed=208 attempts=1 42.9s save_slot_5248 
  [59/200] ok batch=3    GrokvsPro     seed=209 attempts=1 38.7s save_slot_5249 
  [60/200] ok batch=3    OpusvsGPT-5.4 seed=211 attempts=1 30.6s save_slot_5251 
  [61/200] ok batch=3    GrokvsLlama   seed=210 attempts=1 34.7s save_slot_5250 
  [62/200] ok batch=3    OpusvsGrok    seed=212 attempts=1 38.7s save_slot_5252 
  [63/200] ok batch=3    OpusvsLlama   seed=215 attempts=1 26.6s save_slot_5255 
  [64/200] ok batch=3    OpusvsOpus    seed=213 attempts=1 51.0s save_slot_5253 
  [65/200] ok batch=3    OpusvsPro     seed=214 attempts=1 42.8s save_slot_5254 
  [66/200] ok batch=3     ProvsGrok    seed=217 attempts=1 18.4s save_slot_5257 
  [67/200] ok batch=3     ProvsGPT-5.4 seed=216 attempts=1 26.6s save_slot_5256 
  [68/200] ok batch=3     ProvsPro     seed=219 attempts=1 22.5s save_slot_5259 
  [69/200] ok batch=3     ProvsLlama   seed=220 attempts=1 22.5s save_slot_5260 
  [70/200] ok batch=3   LlamavsGPT-5.4 seed=221 attempts=1 22.6s save_slot_5261 
  [71/200] ok batch=3     ProvsOpus    seed=218 attempts=1 42.7s save_slot_5258 
  [72/200] ok batch=3   LlamavsOpus    seed=223 attempts=1 22.5s save_slot_5263 
  [73/200] ok batch=3   LlamavsPro     seed=224 attempts=1 22.6s save_slot_5264 
  [74/200] ok batch=3   LlamavsGrok    seed=222 attempts=1 30.7s save_slot_5262 
  [75/200] ok batch=3   LlamavsLlama   seed=225 attempts=1 26.6s save_slot_5265 
  [76/200] ok batch=4 GPT-5.4vsGrok    seed=227 attempts=1 18.5s save_slot_5267 
  [77/200] ok batch=4 GPT-5.4vsGPT-5.4 seed=226 attempts=1 22.6s save_slot_5266 
  [78/200] ok batch=4 GPT-5.4vsOpus    seed=228 attempts=1 26.6s save_slot_5268 
  [79/200] ok batch=4 GPT-5.4vsLlama   seed=230 attempts=1 22.5s save_slot_5270 
  [80/200] ok batch=4 GPT-5.4vsPro     seed=229 attempts=1 34.7s save_slot_5269 
