Pairings per batch: 25 (5 LLMs × incl self)
Folder 'Negotiation v4 Symmetric' = folder_101
Total episodes: 475 (19 batches × 25 pairings)
  [1/475] ok batch=1 GPT-5.4vsLlama   seed=51004 attempts=1 18.6s save_slot_5439 
  [2/475] ok batch=1 GPT-5.4vsPro     seed=51003 attempts=1 28.7s save_slot_5438 
  [3/475] ok batch=1 GPT-5.4vsOpus    seed=51002 attempts=1 38.9s save_slot_5441 
  [4/475] ok batch=1    GrokvsGPT-5.4 seed=51005 attempts=1 40.8s save_slot_5440 
  [5/475] ok batch=1 GPT-5.4vsGrok    seed=51001 attempts=1 46.7s save_slot_5437 
  [6/475] ok batch=1 GPT-5.4vsGPT-5.4 seed=51000 attempts=1 48.8s save_slot_5436 
  [7/475] ok batch=1    GrokvsGrok    seed=51006 attempts=1 46.8s save_slot_5442 
  [8/475] ok batch=1    GrokvsLlama   seed=51009 attempts=1 34.5s save_slot_5445 
  [9/475] ok batch=1    GrokvsOpus    seed=51007 attempts=1 48.8s save_slot_5443 
  [10/475] ok batch=1    OpusvsGPT-5.4 seed=51010 attempts=1 32.5s save_slot_5446 
  [11/475] ok batch=1    GrokvsPro     seed=51008 attempts=1 40.6s save_slot_5444 
  [12/475] ok batch=1    OpusvsGrok    seed=51011 attempts=1 46.7s save_slot_5447 
  [13/475] ok batch=1     ProvsGPT-5.4 seed=51015 attempts=1 16.4s save_slot_5451 
  [14/475] ok batch=1    OpusvsLlama   seed=51014 attempts=1 18.4s save_slot_5450 
  [15/475] ok batch=1    OpusvsOpus    seed=51012 attempts=1 44.6s save_slot_5448 
  [16/475] ok batch=1    OpusvsPro     seed=51013 attempts=1 36.5s save_slot_5449 
  [17/475] ok batch=1     ProvsPro     seed=51018 attempts=1 16.4s save_slot_5454 
  [18/475] ok batch=1     ProvsLlama   seed=51019 attempts=1 20.3s save_slot_5455 
  [19/475] ok batch=1     ProvsGrok    seed=51016 attempts=1 40.6s save_slot_5452 
  [20/475] ok batch=1   LlamavsGPT-5.4 seed=51020 attempts=1 10.3s save_slot_5456 
  [21/475] ok batch=2 GPT-5.4vsGPT-5.4 seed=51025 attempts=1 10.2s save_slot_5461 
  [22/475] ok batch=1     ProvsOpus    seed=51017 attempts=1 36.5s save_slot_5453 
  [23/475] ok batch=1   LlamavsPro     seed=51023 attempts=1 22.6s save_slot_5459 
  [24/475] ok batch=1   LlamavsLlama   seed=51024 attempts=1 22.4s save_slot_5460 
  [25/475] ok batch=1   LlamavsOpus    seed=51022 attempts=1 32.5s save_slot_5458 
  [26/475] ok batch=1   LlamavsGrok    seed=51021 attempts=1 36.6s save_slot_5457 
  [27/475] ok batch=2 GPT-5.4vsLlama   seed=51029 attempts=1 16.5s save_slot_5465 
  [28/475] ok batch=2 GPT-5.4vsOpus    seed=51027 attempts=1 30.4s save_slot_5463 
  [29/475] ok batch=2 GPT-5.4vsPro     seed=51028 attempts=1 24.4s save_slot_5464 
  [30/475] ok batch=2    GrokvsGPT-5.4 seed=51030 attempts=1 38.6s save_slot_5466 
  [31/475] ok batch=2 GPT-5.4vsGrok    seed=51026 attempts=1 54.8s save_slot_5462 
  [32/475] ok batch=2    GrokvsGrok    seed=51031 attempts=1 48.7s save_slot_5467 
  [33/475] ok batch=2    GrokvsLlama   seed=51034 attempts=1 34.5s save_slot_5470 
  [34/475] ok batch=2    GrokvsOpus    seed=51032 attempts=1 40.6s save_slot_5468 
  [35/475] ok batch=2    OpusvsGPT-5.4 seed=51035 attempts=1 22.4s save_slot_5471 
  [36/475] ok batch=2    GrokvsPro     seed=51033 attempts=1 48.8s save_slot_5469 
  [37/475] ok batch=2    OpusvsGrok    seed=51036 attempts=1 30.6s save_slot_5472 
  [38/475] ok batch=2     ProvsGPT-5.4 seed=51040 attempts=1 22.4s save_slot_5476 
  [39/475] ok batch=2     ProvsGrok    seed=51041 attempts=1 20.3s save_slot_5477 
  [40/475] ok batch=2    OpusvsOpus    seed=51037 attempts=1 34.5s save_slot_5473 
  [41/475] ok batch=2    OpusvsPro     seed=51038 attempts=1 36.6s save_slot_5474 
  [42/475] ok batch=2    OpusvsLlama   seed=51039 attempts=1 36.6s save_slot_5475 
  [43/475] ok batch=2   LlamavsGPT-5.4 seed=51045 attempts=1 10.3s save_slot_5481 
  [44/475] ok batch=2     ProvsOpus    seed=51042 attempts=1 36.5s save_slot_5478 
  [45/475] ok batch=2     ProvsLlama   seed=51044 attempts=1 22.5s save_slot_5480 
  [46/475] ok batch=2     ProvsPro     seed=51043 attempts=1 26.4s save_slot_5479 
  [47/475] ok batch=2   LlamavsOpus    seed=51047 attempts=1 18.3s save_slot_5483 
  [48/475] ok batch=2   LlamavsPro     seed=51048 attempts=1 20.4s save_slot_5484 
  [49/475] ok batch=3 GPT-5.4vsGPT-5.4 seed=51050 attempts=1 12.3s save_slot_5486 
  [50/475] ok batch=2   LlamavsGrok    seed=51046 attempts=1 32.6s save_slot_5482 
  [51/475] ok batch=2   LlamavsLlama   seed=51049 attempts=1 16.4s save_slot_5485 
  [52/475] ok batch=3 GPT-5.4vsOpus    seed=51052 attempts=1 20.5s save_slot_5488 
  [53/475] ok batch=3 GPT-5.4vsGrok    seed=51051 attempts=1 28.5s save_slot_5487 
  [54/475] ok batch=3 GPT-5.4vsLlama   seed=51054 attempts=1 18.4s save_slot_5490 
  [55/475] ok batch=3 GPT-5.4vsPro     seed=51053 attempts=1 24.4s save_slot_5489 
  [56/475] ok batch=3    GrokvsOpus    seed=51057 attempts=1 16.4s save_slot_5493 
  [57/475] ok batch=3    GrokvsGPT-5.4 seed=51055 attempts=1 26.6s save_slot_5491 
  [58/475] ok batch=3    GrokvsLlama   seed=51059 attempts=1 32.6s save_slot_5495 
  [59/475] ok batch=3    OpusvsGPT-5.4 seed=51060 attempts=1 30.6s save_slot_5496 
  [60/475] ok batch=3    GrokvsGrok    seed=51056 attempts=1 52.9s save_slot_5492 
  [61/475] ok batch=3    GrokvsPro     seed=51058 attempts=1 42.7s save_slot_5494 
  [62/475] ok batch=3    OpusvsGrok    seed=51061 attempts=1 40.7s save_slot_5497 
  [63/475] ok batch=3    OpusvsLlama   seed=51064 attempts=1 20.4s save_slot_5500 
  [64/475] ok batch=3     ProvsGPT-5.4 seed=51065 attempts=1 16.3s save_slot_5501 
  [65/475] ok batch=3    OpusvsOpus    seed=51062 attempts=1 50.7s save_slot_5498 
  [66/475] ok batch=3    OpusvsPro     seed=51063 attempts=1 38.5s save_slot_5499 
  [67/475] ok batch=3   LlamavsGPT-5.4 seed=51070 attempts=1 18.5s save_slot_5506 
  [68/475] ok batch=3     ProvsLlama   seed=51069 attempts=1 26.4s save_slot_5505 
  [69/475] ok batch=3     ProvsPro     seed=51068 attempts=1 28.5s save_slot_5504 
  [70/475] ok batch=3     ProvsGrok    seed=51066 attempts=1 44.6s save_slot_5502 
  [71/475] ok batch=3     ProvsOpus    seed=51067 attempts=1 38.5s save_slot_5503 
  [72/475] ok batch=3   LlamavsLlama   seed=51074 attempts=1 12.3s save_slot_5510 
  [73/475] ok batch=4 GPT-5.4vsGPT-5.4 seed=51075 attempts=1 12.2s save_slot_5511 
  [74/475] ok batch=3   LlamavsOpus    seed=51072 attempts=1 22.4s save_slot_5508 
  [75/475] ok batch=3   LlamavsGrok    seed=51071 attempts=1 32.4s save_slot_5507 
  [76/475] ok batch=3   LlamavsPro     seed=51073 attempts=1 24.5s save_slot_5509 
  [77/475] ok batch=4 GPT-5.4vsGrok    seed=51076 attempts=1 32.7s save_slot_5512 
  [78/475] ok batch=4 GPT-5.4vsLlama   seed=51079 attempts=1 18.4s save_slot_5515 
  [79/475] ok batch=4 GPT-5.4vsPro     seed=51078 attempts=1 24.4s save_slot_5514 
  [80/475] ok batch=4 GPT-5.4vsOpus    seed=51077 attempts=1 34.5s save_slot_5513 
  [81/475] ok batch=4    GrokvsGPT-5.4 seed=51080 attempts=1 38.7s save_slot_5516 
  [82/475] ok batch=4    GrokvsGrok    seed=51081 attempts=1 38.7s save_slot_5517 
  [83/475] ok batch=4    GrokvsLlama   seed=51084 attempts=1 32.6s save_slot_5520 
  [84/475] ok batch=4    GrokvsOpus    seed=51082 attempts=1 36.6s save_slot_5518 
  [85/475] ok batch=4    GrokvsPro     seed=51083 attempts=1 42.7s save_slot_5519 
  [86/475] ok batch=4    OpusvsGPT-5.4 seed=51085 attempts=1 34.5s save_slot_5521 
  [87/475] ok batch=4    OpusvsLlama   seed=51089 attempts=1 24.4s save_slot_5525 
  [88/475] ok batch=4     ProvsGPT-5.4 seed=51090 attempts=1 18.3s save_slot_5526 
  [89/475] ok batch=4    OpusvsGrok    seed=51086 attempts=1 40.5s save_slot_5522 
  [90/475] ok batch=4    OpusvsOpus    seed=51087 attempts=1 46.7s save_slot_5523 
  [91/475] ok batch=4    OpusvsPro     seed=51088 attempts=1 38.8s save_slot_5524 
  [92/475] ok batch=4     ProvsGrok    seed=51091 attempts=1 38.7s save_slot_5527 
  [93/475] ok batch=4     ProvsLlama   seed=51094 attempts=1 20.3s save_slot_5530 
