Pairings per batch: 25 (5 LLMs × incl self)
Folder 'Negotiation v4 Symmetric Probe' = folder_100
Total episodes: 25 (1 batches × 25 pairings)
  [1/25] ok batch=1 GPT-5.4vsLlama   seed=50004 attempts=1 12.4s save_slot_5415 
  [2/25] ok batch=1 GPT-5.4vsGPT-5.4 seed=50000 attempts=1 20.3s save_slot_5412 
  [3/25] ok batch=1 GPT-5.4vsOpus    seed=50002 attempts=1 24.4s save_slot_5413 
  [4/25] ok batch=1 GPT-5.4vsPro     seed=50003 attempts=1 26.6s save_slot_5414 
  [5/25] ok batch=1 GPT-5.4vsGrok    seed=50001 attempts=1 32.6s save_slot_5411 
  [6/25] ok batch=1    GrokvsGPT-5.4 seed=50005 attempts=1 34.4s save_slot_5416 
  [7/25] ok batch=1    GrokvsGrok    seed=50006 attempts=1 44.7s save_slot_5417 
  [8/25] ok batch=1    GrokvsLlama   seed=50009 attempts=1 34.5s save_slot_5420 
  [9/25] ok batch=1    OpusvsGPT-5.4 seed=50010 attempts=1 22.3s save_slot_5421 
  [10/25] ok batch=1    GrokvsOpus    seed=50007 attempts=1 46.6s save_slot_5418 
  [11/25] ok batch=1    GrokvsPro     seed=50008 attempts=1 48.6s save_slot_5419 
  [12/25] ok batch=1    OpusvsPro     seed=50013 attempts=1 12.2s save_slot_5424 
  [13/25] ok batch=1    OpusvsLlama   seed=50014 attempts=1 28.4s save_slot_5425 
  [14/25] ok batch=1     ProvsGPT-5.4 seed=50015 attempts=1 24.3s save_slot_5426 
  [15/25] ok batch=1    OpusvsGrok    seed=50011 attempts=1 38.4s save_slot_5422 
  [16/25] ok batch=1    OpusvsOpus    seed=50012 attempts=1 40.5s save_slot_5423 
  [17/25] ok batch=1     ProvsGrok    seed=50016 attempts=1 32.4s save_slot_5427 
  [18/25] ok batch=1   LlamavsGPT-5.4 seed=50020 attempts=1 8.2s save_slot_5431 
  [19/25] ok batch=1     ProvsPro     seed=50018 attempts=1 16.3s save_slot_5429 
  [20/25] ok batch=1     ProvsLlama   seed=50019 attempts=1 22.4s save_slot_5430 
  [21/25] ok batch=1     ProvsOpus    seed=50017 attempts=1 40.6s save_slot_5428 
  [22/25] ok batch=1   LlamavsPro     seed=50023 attempts=1 24.3s save_slot_5433 
  [23/25] ok batch=1   LlamavsLlama   seed=50024 attempts=1 18.4s save_slot_5435 
  [24/25] ok batch=1   LlamavsOpus    seed=50022 attempts=1 32.5s save_slot_5434 
  [25/25] ok batch=1   LlamavsGrok    seed=50021 attempts=1 39.6s save_slot_5432 

Done in 153s. Successful: 25/25
