Pairings per batch: 25 (5 LLMs × incl self)
Folder 'Negotiation v5 RandomOpener' = folder_106
Total episodes: 475 (19 batches × 25 pairings)
  [1/475] ok batch=1 GPT-5.4vsPro     seed=81003 attempts=1 12.5s save_slot_6032 
  [2/475] ok batch=1 GPT-5.4vsLlama   seed=81004 attempts=1 18.7s save_slot_6033 
  [3/475] ok batch=1 GPT-5.4vsGPT-5.4 seed=81000 attempts=1 20.6s save_slot_6030 
  [4/475] ok batch=1 GPT-5.4vsGrok    seed=81001 attempts=1 28.8s save_slot_6031 
  [5/475] ok batch=1    GrokvsGPT-5.4 seed=81005 attempts=1 29.1s save_slot_6035 
  [6/475] ok batch=1 GPT-5.4vsOpus    seed=81002 attempts=1 33.1s save_slot_6034 
  [7/475] ok batch=1    GrokvsPro     seed=81008 attempts=1 30.6s save_slot_6038 
  [8/475] ok batch=1    GrokvsGrok    seed=81006 attempts=1 40.8s save_slot_6036 
  [9/475] ok batch=1    GrokvsLlama   seed=81009 attempts=1 26.5s save_slot_6039 
  [10/475] ok batch=1    GrokvsOpus    seed=81007 attempts=1 36.8s save_slot_6037 
  [11/475] ok batch=1    OpusvsGPT-5.4 seed=81010 attempts=1 38.7s save_slot_6040 
  [12/475] ok batch=1    OpusvsGrok    seed=81011 attempts=1 44.7s save_slot_6041 
  [13/475] ok batch=1     ProvsGPT-5.4 seed=81015 attempts=1 22.4s save_slot_6045 
  [14/475] ok batch=1     ProvsPro     seed=81018 attempts=1 12.3s save_slot_6048 
  [15/475] ok batch=1    OpusvsLlama   seed=81014 attempts=1 40.7s save_slot_6044 
  [16/475] ok batch=1    OpusvsOpus    seed=81012 attempts=1 44.7s save_slot_6042 
  [17/475] ok batch=1    OpusvsPro     seed=81013 attempts=1 46.7s save_slot_6043 
  [18/475] ok batch=1     ProvsGrok    seed=81016 attempts=1 34.6s save_slot_6046 
  [19/475] ok batch=1   LlamavsGPT-5.4 seed=81020 attempts=1 12.4s save_slot_6050 
  [20/475] ok batch=1     ProvsOpus    seed=81017 attempts=1 40.7s save_slot_6047 
  [21/475] ok batch=1     ProvsLlama   seed=81019 attempts=1 28.5s save_slot_6049 
  [22/475] ok batch=1   LlamavsGrok    seed=81021 attempts=1 28.6s save_slot_6051 
  [23/475] ok batch=1   LlamavsOpus    seed=81022 attempts=1 30.5s save_slot_6052 
  [24/475] ok batch=1   LlamavsPro     seed=81023 attempts=1 28.5s save_slot_6053 
  [25/475] ok batch=1   LlamavsLlama   seed=81024 attempts=1 22.7s save_slot_6054 
  [26/475] ok batch=2 GPT-5.4vsGPT-5.4 seed=81025 attempts=1 18.4s save_slot_6055 
  [27/475] ok batch=2 GPT-5.4vsPro     seed=81028 attempts=1 16.4s save_slot_6058 
  [28/475] ok batch=2 GPT-5.4vsLlama   seed=81029 attempts=1 16.5s save_slot_6059 
  [29/475] ok batch=2 GPT-5.4vsOpus    seed=81027 attempts=1 26.6s save_slot_6057 
  [30/475] ok batch=2 GPT-5.4vsGrok    seed=81026 attempts=1 40.7s save_slot_6056 
  [31/475] ok batch=2    GrokvsGPT-5.4 seed=81030 attempts=1 46.8s save_slot_6060 
  [32/475] ok batch=2    GrokvsPro     seed=81033 attempts=1 38.7s save_slot_6063 
  [33/475] ok batch=2    GrokvsGrok    seed=81031 attempts=1 50.8s save_slot_6061 
  [34/475] ok batch=2    OpusvsGPT-5.4 seed=81035 attempts=1 30.5s save_slot_6065 
  [35/475] ok batch=2    GrokvsLlama   seed=81034 attempts=1 42.6s save_slot_6064 
  [36/475] ok batch=2    GrokvsOpus    seed=81032 attempts=1 48.7s save_slot_6062 
  [37/475] ok batch=2     ProvsGPT-5.4 seed=81040 attempts=1 22.5s save_slot_6070 
  [38/475] ok batch=2    OpusvsGrok    seed=81036 attempts=1 38.7s save_slot_6066 
  [39/475] ok batch=2    OpusvsPro     seed=81038 attempts=1 38.7s save_slot_6068 
  [40/475] ok batch=2    OpusvsLlama   seed=81039 attempts=1 36.5s save_slot_6069 
  [41/475] ok batch=2    OpusvsOpus    seed=81037 attempts=1 44.6s save_slot_6067 
  [42/475] ok batch=2     ProvsGrok    seed=81041 attempts=1 44.6s save_slot_6071 
  [43/475] ok batch=2     ProvsPro     seed=81043 attempts=1 24.4s save_slot_6073 
  [44/475] ok batch=2   LlamavsGPT-5.4 seed=81045 attempts=1 16.3s save_slot_6075 
  [45/475] ok batch=2     ProvsLlama   seed=81044 attempts=1 18.4s save_slot_6074 
  [46/475] ok batch=2     ProvsOpus    seed=81042 attempts=1 36.6s save_slot_6072 
  [47/475] ok batch=3 GPT-5.4vsGPT-5.4 seed=81050 attempts=1 14.3s save_slot_6080 
  [48/475] ok batch=2   LlamavsGrok    seed=81046 attempts=1 32.7s save_slot_6076 
  [49/475] ok batch=2   LlamavsLlama   seed=81049 attempts=1 22.5s save_slot_6079 
  [50/475] ok batch=2   LlamavsPro     seed=81048 attempts=1 24.5s save_slot_6078 
  [51/475] ok batch=3 GPT-5.4vsGrok    seed=81051 attempts=1 18.5s save_slot_6081 
  [52/475] ok batch=2   LlamavsOpus    seed=81047 attempts=1 34.5s save_slot_6077 
  [53/475] ok batch=3 GPT-5.4vsLlama   seed=81054 attempts=1 16.4s save_slot_6084 
  [54/475] ok batch=3 GPT-5.4vsPro     seed=81053 attempts=1 20.5s save_slot_6083 
  [55/475] ok batch=3 GPT-5.4vsOpus    seed=81052 attempts=1 28.5s save_slot_6082 
  [56/475] ok batch=3    GrokvsGPT-5.4 seed=81055 attempts=1 30.6s save_slot_6085 
  [57/475] ok batch=3    GrokvsGrok    seed=81056 attempts=2 40.7s save_slot_6091 
  [58/475] ok batch=3    GrokvsLlama   seed=81059 attempts=1 30.5s save_slot_6089 
  [59/475] ok batch=3    GrokvsOpus    seed=81057 attempts=1 42.6s save_slot_6087 
  [60/475] ok batch=3    OpusvsGPT-5.4 seed=81060 attempts=1 30.7s save_slot_6090 
  [61/475] ok batch=3    GrokvsPro     seed=81058 attempts=1 38.6s save_slot_6088 
  [62/475] ok batch=3    OpusvsGrok    seed=81061 attempts=1 40.8s save_slot_6092 
  [63/475] ok batch=3     ProvsGPT-5.4 seed=81065 attempts=1 24.4s save_slot_6096 
  [64/475] ok batch=3    OpusvsPro     seed=81063 attempts=1 28.5s save_slot_6094 
  [65/475] ok batch=3    OpusvsOpus    seed=81062 attempts=1 42.6s save_slot_6093 
  [66/475] ok batch=3    OpusvsLlama   seed=81064 attempts=1 38.5s save_slot_6095 
  [67/475] ok batch=3     ProvsGrok    seed=81066 attempts=1 36.6s save_slot_6097 
  [68/475] ok batch=3     ProvsLlama   seed=81069 attempts=1 20.4s save_slot_6100 
  [69/475] ok batch=3     ProvsOpus    seed=81067 attempts=1 34.8s save_slot_6098 
  [70/475] ok batch=3     ProvsPro     seed=81068 attempts=1 30.6s save_slot_6099 
  [71/475] ok batch=3   LlamavsGPT-5.4 seed=81070 attempts=1 22.4s save_slot_6101 
  [72/475] ok batch=3   LlamavsPro     seed=81073 attempts=1 24.5s save_slot_6104 
  [73/475] ok batch=3   LlamavsGrok    seed=81071 attempts=1 32.5s save_slot_6102 
  [74/475] ok batch=3   LlamavsOpus    seed=81072 attempts=1 32.5s save_slot_6103 
  [75/475] ok batch=3   LlamavsLlama   seed=81074 attempts=1 18.4s save_slot_6105 
  [76/475] ok batch=4 GPT-5.4vsGPT-5.4 seed=81075 attempts=1 18.4s save_slot_6106 
  [77/475] ok batch=4 GPT-5.4vsPro     seed=81078 attempts=1 16.4s save_slot_6109 
  [78/475] ok batch=4 GPT-5.4vsLlama   seed=81079 attempts=1 22.5s save_slot_6110 
  [79/475] ok batch=4 GPT-5.4vsGrok    seed=81076 attempts=1 36.6s save_slot_6107 
  [80/475] ok batch=4 GPT-5.4vsOpus    seed=81077 attempts=1 30.5s save_slot_6108 
  [81/475] ok batch=4    GrokvsGPT-5.4 seed=81080 attempts=1 30.6s save_slot_6111 
