Pairings per batch: 25 (5 LLMs × incl self)
Folder 'Negotiation v6 ProFixed' = folder_109
Total episodes: 475 (19 batches × 25 pairings)
  [1/475] ok batch=1 GPT-5.4vsLlama   seed=92004 attempts=1 14.5s save_slot_6518 
  [2/475] ok batch=1 GPT-5.4vsGPT-5.4 seed=92000 attempts=1 16.5s save_slot_6514 
  [3/475] ok batch=1 GPT-5.4vsPro     seed=92003 attempts=1 24.6s save_slot_6517 
  [4/475] ok batch=1 GPT-5.4vsGrok    seed=92001 attempts=1 32.5s save_slot_6515 
  [5/475] ok batch=1    GrokvsGPT-5.4 seed=92005 attempts=1 32.8s save_slot_6519 
  [6/475] ok batch=1 GPT-5.4vsOpus    seed=92002 attempts=1 34.6s save_slot_6516 
  [7/475] ok batch=1    GrokvsOpus    seed=92007 attempts=1 30.6s save_slot_6521 
  [8/475] ok batch=1    GrokvsGrok    seed=92006 attempts=1 40.5s save_slot_6520 
  [9/475] ok batch=1    GrokvsLlama   seed=92009 attempts=1 24.4s save_slot_6523 
  [10/475] ok batch=1    OpusvsGPT-5.4 seed=92010 attempts=1 28.4s save_slot_6524 
  [11/475] ok batch=1    OpusvsGrok    seed=92011 attempts=1 30.4s save_slot_6525 
  [12/475] ok batch=1    GrokvsPro     seed=92008 attempts=1 40.4s save_slot_6522 
  [13/475] ok batch=1    OpusvsOpus    seed=92012 attempts=1 24.3s save_slot_6526 
  [14/475] ok batch=1    OpusvsLlama   seed=92014 attempts=1 34.6s save_slot_6528 
  [15/475] ok batch=1     ProvsGPT-5.4 seed=92015 attempts=1 30.4s save_slot_6529 
  [16/475] ok batch=1    OpusvsPro     seed=92013 attempts=1 38.5s save_slot_6527 
  [17/475] ok batch=1     ProvsPro     seed=92018 attempts=1 38.5s save_slot_6532 
  [18/475] ok batch=1     ProvsOpus    seed=92017 attempts=1 46.7s save_slot_6531 
  [19/475] ok batch=1     ProvsGrok    seed=92016 attempts=1 52.6s save_slot_6530 
  [20/475] ok batch=1     ProvsLlama   seed=92019 attempts=1 30.5s save_slot_6533 
  [21/475] ok batch=1   LlamavsGPT-5.4 seed=92020 attempts=1 30.5s save_slot_6534 
  [22/475] ok batch=1   LlamavsGrok    seed=92021 attempts=1 30.3s save_slot_6535 
  [23/475] ok batch=1   LlamavsLlama   seed=92024 attempts=1 14.3s save_slot_6538 
  [24/475] ok batch=1   LlamavsPro     seed=92023 attempts=1 24.3s save_slot_6537 
  [25/475] ok batch=1   LlamavsOpus    seed=92022 attempts=1 26.4s save_slot_6536 
  [26/475] ok batch=2 GPT-5.4vsGrok    seed=92026 attempts=1 22.4s save_slot_6540 
  [27/475] ok batch=2 GPT-5.4vsLlama   seed=92029 attempts=1 10.2s save_slot_6543 
  [28/475] ok batch=2 GPT-5.4vsGPT-5.4 seed=92025 attempts=1 26.4s save_slot_6539 
  [29/475] ok batch=2 GPT-5.4vsOpus    seed=92027 attempts=1 28.5s save_slot_6541 
  [30/475] ok batch=2 GPT-5.4vsPro     seed=92028 attempts=1 38.5s save_slot_6542 
  [31/475] ok batch=2    GrokvsGPT-5.4 seed=92030 attempts=1 40.6s save_slot_6544 
  [32/475] ok batch=2    GrokvsOpus    seed=92032 attempts=1 32.4s save_slot_6546 
  [33/475] ok batch=2    GrokvsLlama   seed=92034 attempts=1 26.4s save_slot_6548 
  [34/475] ok batch=2    GrokvsPro     seed=92033 attempts=1 38.6s save_slot_6547 
  [35/475] ok batch=2    GrokvsGrok    seed=92031 attempts=1 42.6s save_slot_6545 
  [36/475] ok batch=2    OpusvsGPT-5.4 seed=92035 attempts=1 32.5s save_slot_6549 
  [37/475] ok batch=2    OpusvsLlama   seed=92039 attempts=1 24.4s save_slot_6553 
  [38/475] ok batch=2    OpusvsGrok    seed=92036 attempts=1 42.5s save_slot_6550 
  [39/475] ok batch=2     ProvsGPT-5.4 seed=92040 attempts=1 32.5s save_slot_6554 
  [40/475] ok batch=2    OpusvsPro     seed=92038 attempts=1 42.6s save_slot_6552 
  [41/475] ok batch=2    OpusvsOpus    seed=92037 attempts=1 46.6s save_slot_6551 
  [42/475] ok batch=2     ProvsGrok    seed=92041 attempts=1 26.6s save_slot_6555 
  [43/475] ok batch=2   LlamavsGPT-5.4 seed=92045 attempts=1 20.0s save_slot_6559 
  [44/475] ok batch=2   LlamavsOpus    seed=92047 attempts=1 23.1s save_slot_6561 
  [45/475] ok batch=2   LlamavsGrok    seed=92046 attempts=1 27.7s save_slot_6560 
  [46/475] ok batch=2     ProvsOpus    seed=92042 attempts=1 43.4s save_slot_6556 
  [47/475] ok batch=2     ProvsLlama   seed=92044 attempts=1 39.8s save_slot_6558 
  [48/475] ok batch=3 GPT-5.4vsGPT-5.4 seed=92050 attempts=1 12.6s save_slot_6564 
  [49/475] ok batch=2     ProvsPro     seed=92043 attempts=1 50.1s save_slot_6557 
  [50/475] ok batch=2   LlamavsPro     seed=92048 attempts=1 30.1s save_slot_6562 
  [51/475] ok batch=2   LlamavsLlama   seed=92049 attempts=1 21.0s save_slot_6563 
  [52/475] ok batch=3 GPT-5.4vsGrok    seed=92051 attempts=1 25.1s save_slot_6565 
  [53/475] ok batch=3    GrokvsGPT-5.4 seed=92055 attempts=1 14.3s save_slot_6569 
  [54/475] ok batch=3 GPT-5.4vsOpus    seed=92052 attempts=1 28.5s save_slot_6566 
  [55/475] ok batch=3 GPT-5.4vsLlama   seed=92054 attempts=1 22.3s save_slot_6568 
  [56/475] ok batch=3 GPT-5.4vsPro     seed=92053 attempts=1 30.5s save_slot_6567 
  [57/475] ok batch=3    GrokvsLlama   seed=92059 attempts=1 16.3s save_slot_6573 
  [58/475] ok batch=3    GrokvsGrok    seed=92056 attempts=1 38.5s save_slot_6570 
