Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Math-T5,1500,1500,700,900,1400,1000
painting_2,sold,Mimic-Llama,2000,1800,950,800,2000,1500
painting_3,sold,Math-T5,1800,1800,1700,750,1600,900
painting_4,sold,Mimic-Llama,2100,2000,1300,800,2100,1700
painting_5,sold,Math-T5,2100,2100,1700,900,1000,2000
painting_6,sold,Mimic-Llama,3750,3000,2400,2600,3750,3500
painting_7,sold,Math-T5,4000,4000,3250,1900,2000,3750
painting_8,sold,Mimic-Opus,4600,,4350,2200,1700,4600
painting_9,sold,Mimic-Grok,6500,,6250,6500,2100,1700
painting_10,sold,Mimic-GPT-5.4,2750,,2750,1250,2050,2650
painting_11,sold,Mimic-GPT-5.4,5000,,5000,3250,1700,4750
painting_12,sold,Mimic-Opus,2700,,2200,2600,2000,2700

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,4,600,9400,0.94,12,12,0,3233.333
Mimic-GPT-5.4,2,2250,7750,0.775,12,12,0,3233.333
Mimic-Grok,1,3500,6500,0.65,12,12,0,3233.333
Mimic-Llama,3,2150,7850,0.785,12,12,0,3233.333
Mimic-Opus,2,2700,7300,0.73,12,12,0,3233.333
