Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T5,1000,1000,850,450,700,950
painting_2,sold,Math-T5,1700,1700,1000,800,1400,1600
painting_3,sold,Mimic-Pro,1200,,1000,850,1100,1200
painting_4,sold,Math-T5,2300,2300,1000,1900,2200,750
painting_5,sold,Math-T5,1600,1600,1300,1500,1400,1200
painting_6,sold,Mimic-Opus,2600,2500,1800,2200,2600,1200
painting_7,sold,Math-T5,2700,2700,2600,2400,1300,1000
painting_8,sold,Mimic-GPT-5.4,1600,700,1600,1300,1200,1500
painting_9,sold,Mimic-Grok,2900,200,2800,2900,1200,2100
painting_10,sold,Mimic-GPT-5.4,3850,,3850,3100,2100,3350
painting_11,sold,Mimic-Pro,4250,,3500,3750,2900,4250
painting_12,sold,Mimic-Opus,5750,450,4500,5000,5750,1900

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,5,700,9300,0.93,12,12,0,2620.833
Mimic-GPT-5.4,2,4550,5450,0.545,12,12,0,2620.833
Mimic-Grok,1,7100,2900,0.29,12,12,0,2620.833
Mimic-Opus,2,1650,8350,0.835,12,12,0,2620.833
Mimic-Pro,2,4550,5450,0.545,12,12,0,2620.833
