Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2795.833

painting_1 | status=sold | winner=Math-T5 | winning_bid=1300
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Math-T5 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Opus RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: GPT-5.4 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Llama RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Pro RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Math-T5 RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Opus RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Llama RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Pro RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Math-T5 RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Opus RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: GPT-5.4 RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Llama RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Pro RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Math-T5 RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Opus PASS (before=950, leader_after=bidder_3)
  turn 20: GPT-5.4 RAISE to 1000 (before=950, leader_after=bidder_5)
  turn 21: Llama RAISE to 1200 (before=1000, leader_after=bidder_1)
  turn 22: Pro PASS (before=1200, leader_after=bidder_1)
  turn 23: Math-T5 RAISE to 1300 (before=1200, leader_after=bidder_3)
  turn 24: GPT-5.4 PASS (before=1300, leader_after=bidder_3)
  turn 25: Llama PASS (before=1300, leader_after=bidder_3)

painting_2 | status=sold | winner=Llama | winning_bid=2200
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Math-T5 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Opus RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: GPT-5.4 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Llama RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Pro RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Math-T5 RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Opus RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Llama RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Pro RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Math-T5 RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Opus RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: GPT-5.4 RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Llama RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Pro RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Math-T5 RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Opus PASS (before=950, leader_after=bidder_3)
  turn 20: GPT-5.4 RAISE to 1000 (before=950, leader_after=bidder_5)
  turn 21: Llama RAISE to 1200 (before=1000, leader_after=bidder_1)
  turn 22: Pro RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 23: Math-T5 RAISE to 1400 (before=1300, leader_after=bidder_3)
  turn 24: GPT-5.4 PASS (before=1400, leader_after=bidder_3)
  turn 25: Llama RAISE to 1600 (before=1400, leader_after=bidder_1)
  turn 26: Pro RAISE to 1700 (before=1600, leader_after=bidder_2)
  turn 27: Math-T5 RAISE to 1800 (before=1700, leader_after=bidder_3)
  turn 28: Llama RAISE to 1900 (before=1800, leader_after=bidder_1)
  turn 29: Pro PASS (before=1900, leader_after=bidder_1)
  turn 30: Math-T5 RAISE to 2000 (before=1900, leader_after=bidder_3)
  turn 31: Llama RAISE to 2200 (before=2000, leader_after=bidder_1)
  turn 32: Math-T5 PASS (before=2200, leader_after=bidder_1)

painting_3 | status=sold | winner=Opus | winning_bid=2100
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Math-T5 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Opus RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: GPT-5.4 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Llama RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Pro RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Math-T5 RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Opus RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Llama RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Pro RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Math-T5 RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Opus RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: GPT-5.4 RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Llama RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Pro RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Math-T5 RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Opus RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: GPT-5.4 RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 21: Llama PASS (before=1100, leader_after=bidder_5)
  turn 22: Pro RAISE to 1200 (before=1100, leader_after=bidder_2)
  turn 23: Math-T5 RAISE to 1300 (before=1200, leader_after=bidder_3)
  turn 24: Opus RAISE to 1400 (before=1300, leader_after=bidder_4)
  turn 25: GPT-5.4 PASS (before=1400, leader_after=bidder_4)
  turn 26: Pro RAISE to 1500 (before=1400, leader_after=bidder_2)
  turn 27: Math-T5 RAISE to 1600 (before=1500, leader_after=bidder_3)
  turn 28: Opus RAISE to 1700 (before=1600, leader_after=bidder_4)
  turn 29: Pro PASS (before=1700, leader_after=bidder_4)
  turn 30: Math-T5 RAISE to 1800 (before=1700, leader_after=bidder_3)
  turn 31: Opus RAISE to 1900 (before=1800, leader_after=bidder_4)
  turn 32: Math-T5 RAISE to 2000 (before=1900, leader_after=bidder_3)
  turn 33: Opus RAISE to 2100 (before=2000, leader_after=bidder_4)
  turn 34: Math-T5 PASS (before=2100, leader_after=bidder_4)

painting_4 | status=sold | winner=Math-T5 | winning_bid=1800
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Math-T5 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Opus RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: GPT-5.4 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Llama RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Pro RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Math-T5 RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Opus RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Llama RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Pro RAISE to 650 (before=600, leader_after=bidder_2)
