Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2966.667

painting_1 | status=sold | winner=Llama | winning_bid=2000
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Math-T5 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Opus RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Grok RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Math-T5 RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Opus RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Grok RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Math-T5 RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Opus RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Grok PASS (before=900, leader_after=bidder_2)
  turn 19: Math-T5 RAISE to 950 (before=900, leader_after=bidder_4)
  turn 20: Llama RAISE to 1000 (before=950, leader_after=bidder_5)
  turn 21: Opus PASS (before=1000, leader_after=bidder_5)
  turn 22: GPT-5.4 RAISE to 1100 (before=1000, leader_after=bidder_2)
  turn 23: Math-T5 RAISE to 1200 (before=1100, leader_after=bidder_4)
  turn 24: Llama RAISE to 1300 (before=1200, leader_after=bidder_5)
  turn 25: GPT-5.4 PASS (before=1300, leader_after=bidder_5)
  turn 26: Math-T5 RAISE to 1400 (before=1300, leader_after=bidder_4)
  turn 27: Llama RAISE to 1500 (before=1400, leader_after=bidder_5)
  turn 28: Math-T5 RAISE to 1600 (before=1500, leader_after=bidder_4)
  turn 29: Llama RAISE to 2000 (before=1600, leader_after=bidder_5)
  turn 30: Math-T5 PASS (before=2000, leader_after=bidder_5)

painting_2 | status=sold | winner=Math-T5 | winning_bid=1100
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Grok RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Math-T5 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Opus RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Grok RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Math-T5 RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Opus RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Grok RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Math-T5 RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Opus RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Grok PASS (before=900, leader_after=bidder_2)
  turn 19: Math-T5 RAISE to 950 (before=900, leader_after=bidder_4)
  turn 20: Llama PASS (before=950, leader_after=bidder_4)
  turn 21: Opus PASS (before=950, leader_after=bidder_4)
  turn 22: GPT-5.4 RAISE to 1000 (before=950, leader_after=bidder_2)
  turn 23: Math-T5 RAISE to 1100 (before=1000, leader_after=bidder_4)
  turn 24: GPT-5.4 PASS (before=1100, leader_after=bidder_4)

painting_3 | status=sold | winner=Math-T5 | winning_bid=1600
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_2)
