Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Llama,max_bid_Math-T1,max_bid_Opus,max_bid_Pro
painting_1,sold,Math-T1,1200,1100,1000,1200,700,950
painting_2,sold,Math-T1,1400,850,1100,1400,950,1300
painting_3,sold,Llama,7500,850,7500,6750,1800,1000
painting_4,sold,Math-T1,2300,950,300,2300,2200,1200
painting_5,sold,Math-T1,2000,1300,550,2000,1900,950
painting_6,sold,Pro,3250,1800,2100,3000,1000,3250
painting_7,sold,Math-T1,2600,2500,1600,2600,1500,1000
painting_8,sold,Opus,2600,800,2500,400,2600,700
painting_9,sold,GPT-5.4,3500,3500,,,2600,3250
painting_10,sold,GPT-5.4,2500,2500,2000,,2400,1900
painting_11,sold,Pro,4001,350,300,400,550,4001
painting_12,sold,Opus,4001,100,,150,4001,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,2,4000,6000,0.6,12,12,0,3071.0
Llama,1,2500,7500,0.75,12,12,0,3071.0
Math-T1,5,500,9500,0.95,12,12,0,3071.0
Opus,2,3399,6601,0.66,12,12,0,3071.0
Pro,2,2749,7251,0.725,12,12,0,3071.0
