Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Math-T1,max_bid_Opus,max_bid_Pro
painting_1,sold,Math-T1,1100,1000,650,1100,700,900
painting_2,sold,Math-T1,1500,850,900,1500,1400,1000
painting_3,sold,Math-T1,2000,1900,900,2000,950,1300
painting_4,sold,Math-T1,1300,850,900,1300,950,1200
painting_5,sold,Math-T1,2100,1200,1300,2100,1700,2000
painting_6,sold,Opus,2100,1200,1700,2000,2100,1900
painting_7,sold,Grok,2200,2100,2200,1800,950,1400
painting_8,sold,GPT-5.4,2000,2000,1300,1900,1400,1800
painting_9,sold,Pro,2000,1700,1800,1600,1900,2000
painting_10,sold,Pro,2700,2500,2600,1600,2300,2700
painting_11,sold,Pro,5300,4000,,,,5300
painting_12,sold,GPT-5.4,8000,8000,,,,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,2,0,10000,1.0,12,12,0,2691.667
Grok,1,7800,2200,0.22,12,12,0,2691.667
Math-T1,5,2000,8000,0.8,12,12,0,2691.667
Opus,1,7900,2100,0.21,12,12,0,2691.667
Pro,3,0,10000,1.0,12,12,0,2691.667
