Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2737.5

painting_1 | status=sold | winner=Math-T4 | winning_bid=1200
  turn 1: Math-T4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Math-T4 RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Grok RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Pro RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Math-T4 RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Grok RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Opus RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Pro RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Math-T4 RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Grok PASS (before=850, leader_after=bidder_1)
  turn 18: Opus RAISE to 900 (before=850, leader_after=bidder_3)
  turn 19: Pro RAISE to 950 (before=900, leader_after=bidder_4)
  turn 20: Llama PASS (before=950, leader_after=bidder_4)
  turn 21: Math-T4 RAISE to 1000 (before=950, leader_after=bidder_1)
  turn 22: Opus RAISE to 1100 (before=1000, leader_after=bidder_3)
  turn 23: Pro PASS (before=1100, leader_after=bidder_3)
  turn 24: Math-T4 RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 25: Opus PASS (before=1200, leader_after=bidder_1)

painting_2 | status=sold | winner=Math-T4 | winning_bid=2900
  turn 1: Math-T4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Grok PASS (before=100, leader_after=bidder_1)
  turn 3: Opus RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: Pro RAISE to 200 (before=150, leader_after=bidder_4)
  turn 5: Llama RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Math-T4 RAISE to 300 (before=250, leader_after=bidder_1)
  turn 7: Opus RAISE to 350 (before=300, leader_after=bidder_3)
  turn 8: Pro RAISE to 400 (before=350, leader_after=bidder_4)
  turn 9: Llama RAISE to 450 (before=400, leader_after=bidder_5)
  turn 10: Math-T4 RAISE to 500 (before=450, leader_after=bidder_1)
  turn 11: Opus RAISE to 550 (before=500, leader_after=bidder_3)
  turn 12: Pro RAISE to 600 (before=550, leader_after=bidder_4)
  turn 13: Llama RAISE to 650 (before=600, leader_after=bidder_5)
  turn 14: Math-T4 RAISE to 700 (before=650, leader_after=bidder_1)
  turn 15: Opus RAISE to 750 (before=700, leader_after=bidder_3)
  turn 16: Pro RAISE to 800 (before=750, leader_after=bidder_4)
  turn 17: Llama RAISE to 850 (before=800, leader_after=bidder_5)
  turn 18: Math-T4 RAISE to 900 (before=850, leader_after=bidder_1)
  turn 19: Opus RAISE to 950 (before=900, leader_after=bidder_3)
  turn 20: Pro RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 21: Llama RAISE to 1200 (before=1000, leader_after=bidder_5)
  turn 22: Math-T4 RAISE to 1300 (before=1200, leader_after=bidder_1)
  turn 23: Opus PASS (before=1300, leader_after=bidder_1)
  turn 24: Pro PASS (before=1300, leader_after=bidder_1)
  turn 25: Llama RAISE to 1400 (before=1300, leader_after=bidder_5)
  turn 26: Math-T4 RAISE to 1500 (before=1400, leader_after=bidder_1)
  turn 27: Llama RAISE to 1600 (before=1500, leader_after=bidder_5)
  turn 28: Math-T4 RAISE to 1700 (before=1600, leader_after=bidder_1)
  turn 29: Llama RAISE to 2000 (before=1700, leader_after=bidder_5)
  turn 30: Math-T4 RAISE to 2100 (before=2000, leader_after=bidder_1)
  turn 31: Llama RAISE to 2200 (before=2100, leader_after=bidder_5)
  turn 32: Math-T4 RAISE to 2300 (before=2200, leader_after=bidder_1)
  turn 33: Llama RAISE to 2500 (before=2300, leader_after=bidder_5)
  turn 34: Math-T4 RAISE to 2600 (before=2500, leader_after=bidder_1)
  turn 35: Llama RAISE to 2800 (before=2600, leader_after=bidder_5)
  turn 36: Math-T4 RAISE to 2900 (before=2800, leader_after=bidder_1)
  turn 37: Llama PASS (before=2900, leader_after=bidder_1)

painting_3 | status=sold | winner=Math-T4 | winning_bid=2000
  turn 1: Math-T4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Math-T4 RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Grok RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Pro RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Math-T4 RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Grok RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Opus RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Pro RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 850 (before=750, leader_after=bidder_5)
  turn 16: Math-T4 RAISE to 900 (before=850, leader_after=bidder_1)
  turn 17: Grok RAISE to 950 (before=900, leader_after=bidder_2)
  turn 18: Opus RAISE to 1000 (before=950, leader_after=bidder_3)
  turn 19: Pro RAISE to 1100 (before=1000, leader_after=bidder_4)
  turn 20: Llama RAISE to 1200 (before=1100, leader_after=bidder_5)
  turn 21: Math-T4 RAISE to 1300 (before=1200, leader_after=bidder_1)
  turn 22: Grok PASS (before=1300, leader_after=bidder_1)
  turn 23: Opus RAISE to 1400 (before=1300, leader_after=bidder_3)
  turn 24: Pro RAISE to 1500 (before=1400, leader_after=bidder_4)
  turn 25: Llama RAISE to 1600 (before=1500, leader_after=bidder_5)
  turn 26: Math-T4 RAISE to 1700 (before=1600, leader_after=bidder_1)
  turn 27: Opus RAISE to 1800 (before=1700, leader_after=bidder_3)
  turn 28: Pro PASS (before=1800, leader_after=bidder_3)
  turn 29: Llama RAISE to 1900 (before=1800, leader_after=bidder_5)
  turn 30: Math-T4 RAISE to 2000 (before=1900, leader_after=bidder_1)
  turn 31: Opus PASS (before=2000, leader_after=bidder_1)
  turn 32: Llama PASS (before=2000, leader_after=bidder_1)

painting_4 | status=sold | winner=Math-T4 | winning_bid=1500
  turn 1: Math-T4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Math-T4 RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Grok RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Pro RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Math-T4 RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Grok RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Opus RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Pro RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Math-T4 RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Grok RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Opus RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Pro RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Llama RAISE to 1200 (before=1000, leader_after=bidder_5)
  turn 21: Math-T4 RAISE to 1300 (before=1200, leader_after=bidder_1)
  turn 22: Grok PASS (before=1300, leader_after=bidder_1)
  turn 23: Opus PASS (before=1300, leader_after=bidder_1)
  turn 24: Pro RAISE to 1400 (before=1300, leader_after=bidder_4)
  turn 25: Llama PASS (before=1400, leader_after=bidder_4)
  turn 26: Math-T4 RAISE to 1500 (before=1400, leader_after=bidder_1)
  turn 27: Pro PASS (before=1500, leader_after=bidder_1)

painting_5 | status=sold | winner=Math-T4 | winning_bid=2000
  turn 1: Math-T4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Math-T4 RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Grok RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Pro RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Math-T4 RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Grok RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Opus RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Pro RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Math-T4 RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Grok RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Opus RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Pro RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Llama RAISE to 1200 (before=1000, leader_after=bidder_5)
  turn 21: Math-T4 RAISE to 1300 (before=1200, leader_after=bidder_1)
  turn 22: Grok PASS (before=1300, leader_after=bidder_1)
  turn 23: Opus RAISE to 1400 (before=1300, leader_after=bidder_3)
  turn 24: Pro RAISE to 1500 (before=1400, leader_after=bidder_4)
  turn 25: Llama PASS (before=1500, leader_after=bidder_4)
  turn 26: Math-T4 RAISE to 1600 (before=1500, leader_after=bidder_1)
  turn 27: Opus PASS (before=1600, leader_after=bidder_1)
  turn 28: Pro RAISE to 1700 (before=1600, leader_after=bidder_4)
  turn 29: Math-T4 RAISE to 1800 (before=1700, leader_after=bidder_1)
  turn 30: Pro RAISE to 1900 (before=1800, leader_after=bidder_4)
  turn 31: Math-T4 RAISE to 2000 (before=1900, leader_after=bidder_1)
  turn 32: Pro PASS (before=2000, leader_after=bidder_1)

painting_6 | status=sold | winner=Pro | winning_bid=1600
  turn 1: Math-T4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Math-T4 RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Grok RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Pro RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Math-T4 PASS (before=550, leader_after=bidder_5)
  turn 12: Grok RAISE to 600 (before=550, leader_after=bidder_2)
  turn 13: Opus RAISE to 650 (before=600, leader_after=bidder_3)
  turn 14: Pro RAISE to 700 (before=650, leader_after=bidder_4)
  turn 15: Llama RAISE to 750 (before=700, leader_after=bidder_5)
  turn 16: Grok RAISE to 800 (before=750, leader_after=bidder_2)
  turn 17: Opus RAISE to 850 (before=800, leader_after=bidder_3)
  turn 18: Pro RAISE to 900 (before=850, leader_after=bidder_4)
  turn 19: Llama RAISE to 950 (before=900, leader_after=bidder_5)
  turn 20: Grok RAISE to 1000 (before=950, leader_after=bidder_2)
  turn 21: Opus RAISE to 1100 (before=1000, leader_after=bidder_3)
  turn 22: Pro RAISE to 1200 (before=1100, leader_after=bidder_4)
  turn 23: Llama RAISE to 1300 (before=1200, leader_after=bidder_5)
  turn 24: Grok RAISE to 1400 (before=1300, leader_after=bidder_2)
  turn 25: Opus RAISE to 1500 (before=1400, leader_after=bidder_3)
  turn 26: Pro RAISE to 1600 (before=1500, leader_after=bidder_4)
  turn 27: Llama PASS (before=1600, leader_after=bidder_4)
  turn 28: Grok PASS (before=1600, leader_after=bidder_4)
  turn 29: Opus PASS (before=1600, leader_after=bidder_4)

painting_7 | status=sold | winner=Llama | winning_bid=1600
  turn 1: Math-T4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Grok PASS (before=100, leader_after=bidder_1)
  turn 3: Opus RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: Pro RAISE to 200 (before=150, leader_after=bidder_4)
  turn 5: Llama RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Math-T4 RAISE to 300 (before=250, leader_after=bidder_1)
  turn 7: Opus RAISE to 350 (before=300, leader_after=bidder_3)
  turn 8: Pro RAISE to 400 (before=350, leader_after=bidder_4)
  turn 9: Llama RAISE to 450 (before=400, leader_after=bidder_5)
  turn 10: Math-T4 PASS (before=450, leader_after=bidder_5)
  turn 11: Opus RAISE to 500 (before=450, leader_after=bidder_3)
  turn 12: Pro RAISE to 550 (before=500, leader_after=bidder_4)
  turn 13: Llama RAISE to 650 (before=550, leader_after=bidder_5)
  turn 14: Opus RAISE to 700 (before=650, leader_after=bidder_3)
  turn 15: Pro RAISE to 750 (before=700, leader_after=bidder_4)
  turn 16: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 17: Opus RAISE to 1000 (before=800, leader_after=bidder_3)
  turn 18: Pro RAISE to 1100 (before=1000, leader_after=bidder_4)
  turn 19: Llama RAISE to 1200 (before=1100, leader_after=bidder_5)
  turn 20: Opus RAISE to 1300 (before=1200, leader_after=bidder_3)
  turn 21: Pro RAISE to 1400 (before=1300, leader_after=bidder_4)
  turn 22: Llama RAISE to 1600 (before=1400, leader_after=bidder_5)
  turn 23: Opus PASS (before=1600, leader_after=bidder_5)
  turn 24: Pro PASS (before=1600, leader_after=bidder_5)

painting_8 | status=sold | winner=Llama | winning_bid=2000
  turn 1: Math-T4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Math-T4 RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Grok RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Pro RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 600 (before=500, leader_after=bidder_5)
  turn 11: Math-T4 PASS (before=600, leader_after=bidder_5)
  turn 12: Grok RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Opus RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Pro RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Grok RAISE to 850 (before=800, leader_after=bidder_2)
  turn 17: Opus RAISE to 900 (before=850, leader_after=bidder_3)
  turn 18: Pro RAISE to 950 (before=900, leader_after=bidder_4)
  turn 19: Llama RAISE to 1000 (before=950, leader_after=bidder_5)
  turn 20: Grok RAISE to 1100 (before=1000, leader_after=bidder_2)
  turn 21: Opus RAISE to 1200 (before=1100, leader_after=bidder_3)
  turn 22: Pro RAISE to 1300 (before=1200, leader_after=bidder_4)
  turn 23: Llama RAISE to 1400 (before=1300, leader_after=bidder_5)
  turn 24: Grok RAISE to 1500 (before=1400, leader_after=bidder_2)
  turn 25: Opus RAISE to 1600 (before=1500, leader_after=bidder_3)
  turn 26: Pro RAISE to 1700 (before=1600, leader_after=bidder_4)
  turn 27: Llama RAISE to 1800 (before=1700, leader_after=bidder_5)
  turn 28: Grok RAISE to 1900 (before=1800, leader_after=bidder_2)
  turn 29: Opus PASS (before=1900, leader_after=bidder_2)
  turn 30: Pro PASS (before=1900, leader_after=bidder_2)
  turn 31: Llama RAISE to 2000 (before=1900, leader_after=bidder_5)
  turn 32: Grok PASS (before=2000, leader_after=bidder_5)

painting_9 | status=sold | winner=Grok | winning_bid=2400
  turn 1: Math-T4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro RAISE to 250 (before=200, leader_after=bidder_4)
