Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Math-T2,max_bid_Pro
painting_1,sold,Llama,850,700,,850,750,800
painting_2,sold,Llama,1200,900,700,1200,950,1000
painting_3,sold,Pro,1200,1100,900,600,950,1200
painting_4,sold,GPT-5.4,1100,1100,900,1000,950,750
painting_5,sold,Llama,1500,850,1200,1500,1300,1000
painting_6,sold,Llama,1500,1200,1300,1500,1400,1000
painting_7,sold,Math-T2,1700,1300,150,1600,1700,1500
painting_8,sold,Grok,1800,1700,1800,1200,1500,1600
painting_9,sold,Pro,2200,2000,2100,1100,1800,2200
painting_10,sold,GPT-5.4,2900,2900,2700,2500,2800,2000
painting_11,sold,Pro,6600,3000,4000,,4250,6600
painting_12,sold,Math-T2,6250,6000,,,6250,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,2,6000,4000,0.4,12,12,0,2400.0
Grok,1,8200,1800,0.18,12,12,0,2400.0
Llama,4,4950,5050,0.505,12,12,0,2400.0
Math-T2,2,2050,7950,0.795,12,12,0,2400.0
Pro,3,0,10000,1.0,12,12,0,2400.0
