Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Grok,max_bid_Llama,max_bid_Math-T3,max_bid_Opus,max_bid_Pro
painting_1,sold,Llama,900,650,900,600,700,850
painting_2,sold,Llama,1000,650,1000,850,900,950
painting_3,sold,Pro,1360,150,750,1200,1000,1360
painting_4,sold,Math-T3,1400,1200,1300,1400,950,750
painting_5,sold,Opus,1300,1200,800,1100,1300,1000
painting_6,sold,Grok,1500,1500,1400,1200,950,1000
painting_7,sold,Math-T3,1600,900,1500,1600,1400,1000
painting_8,sold,Llama,2000,1400,2000,1300,1800,1900
painting_9,sold,Pro,2400,2100,1100,2300,1800,2400
painting_10,sold,Math-T3,2700,1300,2600,2700,2500,1900
painting_11,sold,Pro,6101,4000,5000,3000,2000,6101
painting_12,sold,Opus,8600,150,,100,8600,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Grok,1,8500,1500,0.15,12,12,0,2571.75
Llama,3,6100,3900,0.39,12,12,0,2571.75
Math-T3,3,4300,5700,0.57,12,12,0,2571.75
Opus,2,100,9900,0.99,12,12,0,2571.75
Pro,3,139,9861,0.986,12,12,0,2571.75
