Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Math-T4,max_bid_Opus
painting_1,sold,Math-T4,950,850,150,800,950,900
painting_2,sold,Math-T4,1400,1100,650,1300,1400,900
painting_3,sold,Math-T4,2100,950,150,2000,2100,1700
painting_4,sold,Math-T4,1800,1200,900,1100,1800,1700
painting_5,sold,Math-T4,2400,2000,900,2300,2400,1700
painting_6,sold,Opus,1500,1300,1400,1200,1000,1500
painting_7,sold,Llama,1700,1500,1600,1700,1000,950
painting_8,sold,GPT-5.4,2300,2300,2000,2200,1000,1400
painting_9,sold,Grok,2400,1700,2400,2300,1000,1400
painting_10,sold,GPT-5.4,3000,3000,1400,2900,1000,1900
painting_11,sold,Llama,4000,1600,3750,4000,1000,3000
painting_12,sold,Opus,7650,850,900,800,750,7650

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,2,4700,5300,0.53,12,12,0,2600.0
Grok,1,7600,2400,0.24,12,12,0,2600.0
Llama,2,4300,5700,0.57,12,12,0,2600.0
Math-T4,5,1350,8650,0.865,12,12,0,2600.0
Opus,2,850,9150,0.915,12,12,0,2600.0
