Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 1254.167

painting_1 | status=sold | winner=Opus | winning_bid=300
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: GPT-5.4 PASS (before=100, leader_after=bidder_1)
  turn 4: Opus RAISE to 150 (before=100, leader_after=bidder_4)
  turn 5: Grok RAISE to 200 (before=150, leader_after=bidder_5)
  turn 6: Llama RAISE to 250 (before=200, leader_after=bidder_1)
  turn 7: Opus RAISE to 300 (before=250, leader_after=bidder_4)
  turn 8: Grok PASS (before=300, leader_after=bidder_4)
  turn 9: Llama PASS (before=300, leader_after=bidder_4)

painting_2 | status=sold | winner=Llama | winning_bid=300
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: Opus PASS (before=150, leader_after=bidder_3)
  turn 5: Grok PASS (before=150, leader_after=bidder_3)
  turn 6: Llama RAISE to 200 (before=150, leader_after=bidder_1)
  turn 7: GPT-5.4 RAISE to 250 (before=200, leader_after=bidder_3)
  turn 8: Llama RAISE to 300 (before=250, leader_after=bidder_1)
  turn 9: GPT-5.4 PASS (before=300, leader_after=bidder_1)

painting_3 | status=sold | winner=GPT-5.4 | winning_bid=150
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: Opus PASS (before=150, leader_after=bidder_3)
  turn 5: Grok PASS (before=150, leader_after=bidder_3)
  turn 6: Llama PASS (before=150, leader_after=bidder_3)

painting_4 | status=sold | winner=GPT-5.4 | winning_bid=800
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Opus RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Grok RAISE to 400 (before=250, leader_after=bidder_5)
  turn 6: Llama RAISE to 500 (before=400, leader_after=bidder_1)
  turn 7: Pro PASS (before=500, leader_after=bidder_1)
  turn 8: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_3)
  turn 9: Opus PASS (before=550, leader_after=bidder_3)
  turn 10: Grok PASS (before=550, leader_after=bidder_3)
  turn 11: Llama RAISE to 650 (before=550, leader_after=bidder_1)
  turn 12: GPT-5.4 RAISE to 700 (before=650, leader_after=bidder_3)
  turn 13: Llama RAISE to 750 (before=700, leader_after=bidder_1)
  turn 14: GPT-5.4 RAISE to 800 (before=750, leader_after=bidder_3)
  turn 15: Llama PASS (before=800, leader_after=bidder_3)

painting_5 | status=sold | winner=Grok | winning_bid=500
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: Opus RAISE to 200 (before=150, leader_after=bidder_4)
  turn 5: Grok RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Llama PASS (before=250, leader_after=bidder_5)
  turn 7: GPT-5.4 PASS (before=250, leader_after=bidder_5)
  turn 8: Opus RAISE to 300 (before=250, leader_after=bidder_4)
  turn 9: Grok RAISE to 350 (before=300, leader_after=bidder_5)
  turn 10: Opus RAISE to 400 (before=350, leader_after=bidder_4)
  turn 11: Grok RAISE to 500 (before=400, leader_after=bidder_5)
