Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2241.75

painting_1 | status=sold | winner=Llama | winning_bid=1500
  turn 1: Pro PASS (before=0, leader_after=None)
  turn 2: Llama RAISE to 100 (before=0, leader_after=bidder_2)
  turn 3: Grok RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: Opus RAISE to 200 (before=150, leader_after=bidder_4)
  turn 5: GPT-5.4 RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Llama RAISE to 300 (before=250, leader_after=bidder_2)
  turn 7: Grok PASS (before=300, leader_after=bidder_2)
  turn 8: Opus RAISE to 350 (before=300, leader_after=bidder_4)
  turn 9: GPT-5.4 PASS (before=350, leader_after=bidder_4)
  turn 10: Llama RAISE to 400 (before=350, leader_after=bidder_2)
  turn 11: Opus RAISE to 450 (before=400, leader_after=bidder_4)
  turn 12: Llama RAISE to 500 (before=450, leader_after=bidder_2)
  turn 13: Opus RAISE to 550 (before=500, leader_after=bidder_4)
  turn 14: Llama RAISE to 600 (before=550, leader_after=bidder_2)
  turn 15: Opus RAISE to 650 (before=600, leader_after=bidder_4)
  turn 16: Llama RAISE to 1000 (before=650, leader_after=bidder_2)
  turn 17: Opus RAISE to 1100 (before=1000, leader_after=bidder_4)
  turn 18: Llama RAISE to 1500 (before=1100, leader_after=bidder_2)
  turn 19: Opus PASS (before=1500, leader_after=bidder_2)

painting_2 | status=sold | winner=Llama | winning_bid=6000
  turn 1: Pro PASS (before=0, leader_after=None)
  turn 2: Llama RAISE to 100 (before=0, leader_after=bidder_2)
  turn 3: Grok RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: Opus RAISE to 200 (before=150, leader_after=bidder_4)
  turn 5: GPT-5.4 RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Llama RAISE to 500 (before=250, leader_after=bidder_2)
  turn 7: Grok PASS (before=500, leader_after=bidder_2)
  turn 8: Opus RAISE to 550 (before=500, leader_after=bidder_4)
  turn 9: GPT-5.4 RAISE to 600 (before=550, leader_after=bidder_5)
  turn 10: Llama RAISE to 700 (before=600, leader_after=bidder_2)
  turn 11: Opus RAISE to 750 (before=700, leader_after=bidder_4)
  turn 12: GPT-5.4 RAISE to 800 (before=750, leader_after=bidder_5)
  turn 13: Llama RAISE to 900 (before=800, leader_after=bidder_2)
  turn 14: Opus RAISE to 950 (before=900, leader_after=bidder_4)
  turn 15: GPT-5.4 RAISE to 1000 (before=950, leader_after=bidder_5)
  turn 16: Llama RAISE to 1200 (before=1000, leader_after=bidder_2)
  turn 17: Opus RAISE to 1300 (before=1200, leader_after=bidder_4)
  turn 18: GPT-5.4 PASS (before=1300, leader_after=bidder_4)
  turn 19: Llama RAISE to 1400 (before=1300, leader_after=bidder_2)
  turn 20: Opus RAISE to 1500 (before=1400, leader_after=bidder_4)
  turn 21: Llama RAISE to 1800 (before=1500, leader_after=bidder_2)
  turn 22: Opus RAISE to 1900 (before=1800, leader_after=bidder_4)
  turn 23: Llama RAISE to 2000 (before=1900, leader_after=bidder_2)
  turn 24: Opus RAISE to 2100 (before=2000, leader_after=bidder_4)
  turn 25: Llama RAISE to 2500 (before=2100, leader_after=bidder_2)
  turn 26: Opus RAISE to 2600 (before=2500, leader_after=bidder_4)
  turn 27: Llama RAISE to 3000 (before=2600, leader_after=bidder_2)
  turn 28: Opus RAISE to 3250 (before=3000, leader_after=bidder_4)
  turn 29: Llama RAISE to 3500 (before=3250, leader_after=bidder_2)
  turn 30: Opus RAISE to 3750 (before=3500, leader_after=bidder_4)
  turn 31: Llama RAISE to 4000 (before=3750, leader_after=bidder_2)
  turn 32: Opus RAISE to 4250 (before=4000, leader_after=bidder_4)
