Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Llama,1500,,100,1500,1100,
painting_2,sold,Opus,350,,300,,350,
painting_3,sold,GPT-5.4,300,300,100,250,,200
painting_4,sold,GPT-5.4,450,450,300,,150,400
painting_5,sold,Opus,350,300,100,,350,
painting_6,sold,GPT-5.4,650,650,600,,,
painting_7,sold,Opus,1000,950,100,250,1000,
painting_8,sold,GPT-5.4,300,300,100,250,,200
painting_9,sold,Llama,200,,100,200,,150
painting_10,sold,GPT-5.4,900,900,850,700,,
painting_11,sold,Llama,8300,550,7400,8300,150,
painting_12,sold,Grok,10000,,10000,,,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,5,7400,2600,0.26,12,12,0,2025.0
Grok,1,0,10000,1.0,12,12,0,2025.0
Llama,3,0,10000,1.0,12,12,0,2025.0
Opus,3,8300,1700,0.17,12,12,0,2025.0
Pro,0,10000,0,0.0,12,12,0,2025.0
