Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2629.25

painting_1 | status=sold | winner=Pro | winning_bid=1000
  turn 1: Pro RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Grok RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Pro RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Opus RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Grok RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 600 (before=500, leader_after=bidder_5)
  turn 11: Pro RAISE to 650 (before=600, leader_after=bidder_1)
  turn 12: Opus RAISE to 700 (before=650, leader_after=bidder_2)
  turn 13: GPT-5.4 RAISE to 750 (before=700, leader_after=bidder_3)
  turn 14: Grok RAISE to 800 (before=750, leader_after=bidder_4)
  turn 15: Llama RAISE to 850 (before=800, leader_after=bidder_5)
  turn 16: Pro RAISE to 900 (before=850, leader_after=bidder_1)
  turn 17: Opus PASS (before=900, leader_after=bidder_1)
  turn 18: GPT-5.4 PASS (before=900, leader_after=bidder_1)
  turn 19: Grok PASS (before=900, leader_after=bidder_1)
  turn 20: Llama RAISE to 950 (before=900, leader_after=bidder_5)
  turn 21: Pro RAISE to 1000 (before=950, leader_after=bidder_1)
  turn 22: Llama PASS (before=1000, leader_after=bidder_1)

painting_2 | status=sold | winner=Llama | winning_bid=1500
  turn 1: Pro RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Grok RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Pro RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Opus RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Grok RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Pro RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Opus RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: GPT-5.4 RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Grok RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Pro PASS (before=800, leader_after=bidder_5)
  turn 17: Opus RAISE to 850 (before=800, leader_after=bidder_2)
  turn 18: GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_3)
  turn 19: Grok PASS (before=900, leader_after=bidder_3)
  turn 20: Llama RAISE to 950 (before=900, leader_after=bidder_5)
  turn 21: Opus RAISE to 1000 (before=950, leader_after=bidder_2)
  turn 22: GPT-5.4 PASS (before=1000, leader_after=bidder_2)
  turn 23: Llama RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 24: Opus RAISE to 1200 (before=1100, leader_after=bidder_2)
  turn 25: Llama RAISE to 1300 (before=1200, leader_after=bidder_5)
  turn 26: Opus RAISE to 1400 (before=1300, leader_after=bidder_2)
  turn 27: Llama RAISE to 1500 (before=1400, leader_after=bidder_5)
  turn 28: Opus PASS (before=1500, leader_after=bidder_5)

painting_3 | status=sold | winner=Grok | winning_bid=1000
  turn 1: Pro RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Grok RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Pro RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Opus RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Grok RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Pro RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Opus RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: GPT-5.4 RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Grok RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Pro RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Opus RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: GPT-5.4 RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Grok RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Llama PASS (before=1000, leader_after=bidder_4)
  turn 21: Pro PASS (before=1000, leader_after=bidder_4)
  turn 22: Opus PASS (before=1000, leader_after=bidder_4)
  turn 23: GPT-5.4 PASS (before=1000, leader_after=bidder_4)

painting_4 | status=sold | winner=Opus | winning_bid=1100
  turn 1: Pro RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Grok RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Pro RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Opus RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Grok RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Pro RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Opus RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: GPT-5.4 RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Grok RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Pro RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Opus RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: GPT-5.4 RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Grok PASS (before=950, leader_after=bidder_3)
  turn 20: Llama RAISE to 1000 (before=950, leader_after=bidder_5)
  turn 21: Pro PASS (before=1000, leader_after=bidder_5)
  turn 22: Opus RAISE to 1100 (before=1000, leader_after=bidder_2)
  turn 23: GPT-5.4 PASS (before=1100, leader_after=bidder_2)
  turn 24: Llama PASS (before=1100, leader_after=bidder_2)

painting_5 | status=sold | winner=GPT-5.4 | winning_bid=1300
  turn 1: Pro RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Grok RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Pro RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Opus RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Grok RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Pro RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Opus RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: GPT-5.4 RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Grok RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Pro RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Opus RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: GPT-5.4 RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Grok RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Llama RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 21: Pro RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 22: Opus PASS (before=1200, leader_after=bidder_1)
  turn 23: GPT-5.4 RAISE to 1300 (before=1200, leader_after=bidder_3)
  turn 24: Grok PASS (before=1300, leader_after=bidder_3)
  turn 25: Llama PASS (before=1300, leader_after=bidder_3)
  turn 26: Pro PASS (before=1300, leader_after=bidder_3)

painting_6 | status=sold | winner=Llama | winning_bid=1600
  turn 1: Pro RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Grok RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Pro RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Opus RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Grok RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Pro RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Opus RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: GPT-5.4 RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Grok RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Pro RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Opus RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: GPT-5.4 RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Grok RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Llama RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 21: Pro RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 22: Opus RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 23: GPT-5.4 PASS (before=1300, leader_after=bidder_2)
  turn 24: Grok PASS (before=1300, leader_after=bidder_2)
  turn 25: Llama RAISE to 1400 (before=1300, leader_after=bidder_5)
  turn 26: Pro RAISE to 1500 (before=1400, leader_after=bidder_1)
  turn 27: Opus PASS (before=1500, leader_after=bidder_1)
  turn 28: Llama RAISE to 1600 (before=1500, leader_after=bidder_5)
  turn 29: Pro PASS (before=1600, leader_after=bidder_5)

painting_7 | status=sold | winner=Pro | winning_bid=1700
  turn 1: Pro RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Grok RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Pro RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Opus RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Grok RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Pro RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Opus RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: GPT-5.4 RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Grok RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Pro RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Opus RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: GPT-5.4 RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Grok PASS (before=950, leader_after=bidder_3)
  turn 20: Llama RAISE to 1000 (before=950, leader_after=bidder_5)
  turn 21: Pro RAISE to 1100 (before=1000, leader_after=bidder_1)
  turn 22: Opus RAISE to 1200 (before=1100, leader_after=bidder_2)
  turn 23: GPT-5.4 RAISE to 1300 (before=1200, leader_after=bidder_3)
  turn 24: Llama RAISE to 1400 (before=1300, leader_after=bidder_5)
  turn 25: Pro RAISE to 1500 (before=1400, leader_after=bidder_1)
  turn 26: Opus PASS (before=1500, leader_after=bidder_1)
  turn 27: GPT-5.4 RAISE to 1600 (before=1500, leader_after=bidder_3)
  turn 28: Llama PASS (before=1600, leader_after=bidder_3)
  turn 29: Pro RAISE to 1700 (before=1600, leader_after=bidder_1)
  turn 30: GPT-5.4 PASS (before=1700, leader_after=bidder_1)

painting_8 | status=sold | winner=Opus | winning_bid=2000
  turn 1: Pro RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Grok RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 1500 (before=250, leader_after=bidder_5)
  turn 6: Pro RAISE to 1600 (before=1500, leader_after=bidder_1)
  turn 7: Opus RAISE to 1700 (before=1600, leader_after=bidder_2)
  turn 8: GPT-5.4 PASS (before=1700, leader_after=bidder_2)
  turn 9: Grok RAISE to 1800 (before=1700, leader_after=bidder_4)
  turn 10: Llama RAISE to 1900 (before=1800, leader_after=bidder_5)
  turn 11: Pro PASS (before=1900, leader_after=bidder_5)
  turn 12: Opus RAISE to 2000 (before=1900, leader_after=bidder_2)
  turn 13: Grok PASS (before=2000, leader_after=bidder_2)
  turn 14: Llama PASS (before=2000, leader_after=bidder_2)

painting_9 | status=sold | winner=Llama | winning_bid=2400
  turn 1: Pro RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Grok RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Pro RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Opus RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Grok RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Pro RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Opus RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: GPT-5.4 RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Grok RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Pro RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Opus RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: GPT-5.4 RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Grok RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Llama RAISE to 1200 (before=1000, leader_after=bidder_5)
  turn 21: Pro RAISE to 1300 (before=1200, leader_after=bidder_1)
  turn 22: Opus RAISE to 1400 (before=1300, leader_after=bidder_2)
  turn 23: GPT-5.4 RAISE to 1500 (before=1400, leader_after=bidder_3)
  turn 24: Grok RAISE to 1600 (before=1500, leader_after=bidder_4)
  turn 25: Llama RAISE to 1700 (before=1600, leader_after=bidder_5)
  turn 26: Pro RAISE to 1800 (before=1700, leader_after=bidder_1)
  turn 27: Opus PASS (before=1800, leader_after=bidder_1)
  turn 28: GPT-5.4 RAISE to 1900 (before=1800, leader_after=bidder_3)
  turn 29: Grok RAISE to 2000 (before=1900, leader_after=bidder_4)
  turn 30: Llama RAISE to 2200 (before=2000, leader_after=bidder_5)
  turn 31: Pro PASS (before=2200, leader_after=bidder_5)
  turn 32: GPT-5.4 PASS (before=2200, leader_after=bidder_5)
  turn 33: Grok RAISE to 2300 (before=2200, leader_after=bidder_4)
  turn 34: Llama RAISE to 2400 (before=2300, leader_after=bidder_5)
  turn 35: Grok PASS (before=2400, leader_after=bidder_5)

painting_10 | status=sold | winner=Grok | winning_bid=3500
  turn 1: Pro RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Grok RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Pro RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Opus RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Grok RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Pro RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Opus RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: GPT-5.4 RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Grok RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Pro RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Opus RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: GPT-5.4 RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Grok RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Llama RAISE to 1200 (before=1000, leader_after=bidder_5)
  turn 21: Pro RAISE to 1300 (before=1200, leader_after=bidder_1)
  turn 22: Opus RAISE to 1400 (before=1300, leader_after=bidder_2)
  turn 23: GPT-5.4 RAISE to 1500 (before=1400, leader_after=bidder_3)
  turn 24: Grok RAISE to 1600 (before=1500, leader_after=bidder_4)
  turn 25: Llama PASS (before=1600, leader_after=bidder_4)
