Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2391.667

painting_1 | status=sold | winner=GPT-5.4 | winning_bid=1100
  turn 1: Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Pro RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Llama RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Opus RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Grok RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Pro RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Llama RAISE to 550 (before=450, leader_after=bidder_4)
  turn 10: Opus RAISE to 600 (before=550, leader_after=bidder_5)
  turn 11: Grok RAISE to 650 (before=600, leader_after=bidder_1)
  turn 12: GPT-5.4 RAISE to 700 (before=650, leader_after=bidder_2)
  turn 13: Pro RAISE to 750 (before=700, leader_after=bidder_3)
  turn 14: Llama RAISE to 800 (before=750, leader_after=bidder_4)
  turn 15: Opus RAISE to 850 (before=800, leader_after=bidder_5)
  turn 16: Grok PASS (before=850, leader_after=bidder_5)
  turn 17: GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Pro PASS (before=900, leader_after=bidder_2)
  turn 19: Llama RAISE to 950 (before=900, leader_after=bidder_4)
  turn 20: Opus RAISE to 1000 (before=950, leader_after=bidder_5)
  turn 21: GPT-5.4 RAISE to 1100 (before=1000, leader_after=bidder_2)
  turn 22: Llama PASS (before=1100, leader_after=bidder_2)
  turn 23: Opus PASS (before=1100, leader_after=bidder_2)

painting_2 | status=sold | winner=Llama | winning_bid=1200
  turn 1: Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Pro RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Llama RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Opus RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Grok RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Pro RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Llama RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Opus RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Grok RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Pro RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Llama RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Opus RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Grok RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: GPT-5.4 PASS (before=850, leader_after=bidder_1)
  turn 18: Pro RAISE to 900 (before=850, leader_after=bidder_3)
  turn 19: Llama RAISE to 950 (before=900, leader_after=bidder_4)
  turn 20: Opus PASS (before=950, leader_after=bidder_4)
  turn 21: Grok PASS (before=950, leader_after=bidder_4)
  turn 22: Pro RAISE to 1000 (before=950, leader_after=bidder_3)
  turn 23: Llama RAISE to 1200 (before=1000, leader_after=bidder_4)
  turn 24: Pro PASS (before=1200, leader_after=bidder_4)

painting_3 | status=sold | winner=Llama | winning_bid=1900
  turn 1: Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Pro RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Llama RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Opus RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Grok RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Pro RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Llama RAISE to 500 (before=450, leader_after=bidder_4)
