Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,900,850,650,750,450,900
painting_2,sold,Mimic-Llama,1500,900,650,1500,1400,1200
painting_3,sold,Mimic-Llama,1700,1000,450,1700,1600,950
painting_4,sold,Mimic-GPT-5.4,1500,1500,750,1200,1300,1400
painting_5,sold,Mimic-Grok,1400,950,1400,1100,1200,1300
painting_6,sold,Mimic-Opus,2000,1500,1600,1900,2000,950
painting_7,sold,Mimic-Pro,1900,1600,1700,1200,1400,1900
painting_8,sold,Mimic-Grok,2200,1400,2200,1700,2100,1900
painting_9,sold,Mimic-Llama,2400,2100,1600,2400,2300,2000
painting_10,sold,Mimic-Opus,3750,3500,950,1000,3750,3000
painting_11,sold,Mimic-GPT-5.4,4250,4250,900,2900,1600,3750
painting_12,sold,Mimic-Pro,3800,3550,1750,2850,3050,3800

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,2,4250,5750,0.575,12,12,0,2275.0
Mimic-Grok,2,6400,3600,0.36,12,12,0,2275.0
Mimic-Llama,3,4400,5600,0.56,12,12,0,2275.0
Mimic-Opus,2,4250,5750,0.575,12,12,0,2275.0
Mimic-Pro,3,3400,6600,0.66,12,12,0,2275.0
