Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1200,1200,900,1100,1000,950
painting_2,sold,Math-T1,4250,4250,500,4000,750,1800
painting_3,sold,Mimic-Llama,4750,4250,1500,4750,1700,1600
painting_4,sold,Math-T1,2550,2550,1450,2250,2450,2050
painting_5,sold,Mimic-Llama,3500,2000,550,3500,3250,1600
painting_6,sold,Mimic-Opus,2700,1900,2600,1300,2700,2200
painting_7,sold,Mimic-Grok,2650,1850,2650,1350,2150,2550
painting_8,sold,Mimic-Pro,2400,1600,1800,1500,2300,2400
painting_9,sold,Mimic-Grok,4500,2000,4500,1400,4250,2800
painting_10,sold,Mimic-Pro,4550,1750,100,1650,4050,4550
painting_11,sold,Mimic-Opus,3500,1800,400,1700,3500,3000
painting_12,sold,Mimic-Opus,3000,1800,1500,1300,3000,2900

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,2000,8000,0.8,12,12,0,3295.833
Mimic-Grok,2,2850,7150,0.715,12,12,0,3295.833
Mimic-Llama,2,1750,8250,0.825,12,12,0,3295.833
Mimic-Opus,3,800,9200,0.92,12,12,0,3295.833
Mimic-Pro,2,3050,6950,0.695,12,12,0,3295.833
