Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 3854.167

painting_1 | status=sold | winner=Math-T1 | winning_bid=1000
  turn 1: Mimic-Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 300 (before=150, leader_after=bidder_3)
  turn 4: Mimic-GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_4)
  turn 5: Math-T1 RAISE to 400 (before=350, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 450 (before=400, leader_after=bidder_1)
  turn 7: Mimic-Grok RAISE to 550 (before=450, leader_after=bidder_2)
  turn 8: Mimic-Opus PASS (before=550, leader_after=bidder_2)
  turn 9: Mimic-GPT-5.4 RAISE to 600 (before=550, leader_after=bidder_4)
  turn 10: Math-T1 RAISE to 650 (before=600, leader_after=bidder_5)
  turn 11: Mimic-Llama RAISE to 700 (before=650, leader_after=bidder_1)
  turn 12: Mimic-Grok RAISE to 750 (before=700, leader_after=bidder_2)
  turn 13: Mimic-GPT-5.4 RAISE to 850 (before=750, leader_after=bidder_4)
  turn 14: Math-T1 RAISE to 900 (before=850, leader_after=bidder_5)
  turn 15: Mimic-Llama RAISE to 950 (before=900, leader_after=bidder_1)
  turn 16: Mimic-Grok PASS (before=950, leader_after=bidder_1)
  turn 17: Mimic-GPT-5.4 PASS (before=950, leader_after=bidder_1)
  turn 18: Math-T1 RAISE to 1000 (before=950, leader_after=bidder_5)
  turn 19: Mimic-Llama PASS (before=1000, leader_after=bidder_5)

painting_2 | status=sold | winner=Math-T1 | winning_bid=4300
  turn 1: Mimic-Llama RAISE to 150 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Grok RAISE to 250 (before=150, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 300 (before=250, leader_after=bidder_3)
  turn 4: Mimic-GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_4)
  turn 5: Math-T1 RAISE to 400 (before=350, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 450 (before=400, leader_after=bidder_1)
  turn 7: Mimic-Grok RAISE to 500 (before=450, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 550 (before=500, leader_after=bidder_3)
  turn 9: Mimic-GPT-5.4 RAISE to 600 (before=550, leader_after=bidder_4)
  turn 10: Math-T1 RAISE to 650 (before=600, leader_after=bidder_5)
  turn 11: Mimic-Llama RAISE to 700 (before=650, leader_after=bidder_1)
  turn 12: Mimic-Grok RAISE to 750 (before=700, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 850 (before=750, leader_after=bidder_3)
  turn 14: Mimic-GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_4)
  turn 15: Math-T1 RAISE to 950 (before=900, leader_after=bidder_5)
  turn 16: Mimic-Llama RAISE to 1050 (before=950, leader_after=bidder_1)
  turn 17: Mimic-Grok RAISE to 1150 (before=1050, leader_after=bidder_2)
  turn 18: Mimic-Opus PASS (before=1150, leader_after=bidder_2)
  turn 19: Mimic-GPT-5.4 RAISE to 1250 (before=1150, leader_after=bidder_4)
  turn 20: Math-T1 RAISE to 1350 (before=1250, leader_after=bidder_5)
  turn 21: Mimic-Llama RAISE to 1450 (before=1350, leader_after=bidder_1)
  turn 22: Mimic-Grok RAISE to 1550 (before=1450, leader_after=bidder_2)
  turn 23: Mimic-GPT-5.4 PASS (before=1550, leader_after=bidder_2)
  turn 24: Math-T1 RAISE to 1650 (before=1550, leader_after=bidder_5)
  turn 25: Mimic-Llama RAISE to 1850 (before=1650, leader_after=bidder_1)
  turn 26: Mimic-Grok RAISE to 1950 (before=1850, leader_after=bidder_2)
  turn 27: Math-T1 RAISE to 2050 (before=1950, leader_after=bidder_5)
  turn 28: Mimic-Llama RAISE to 2250 (before=2050, leader_after=bidder_1)
  turn 29: Mimic-Grok PASS (before=2250, leader_after=bidder_1)
  turn 30: Math-T1 RAISE to 2350 (before=2250, leader_after=bidder_5)
  turn 31: Mimic-Llama RAISE to 2450 (before=2350, leader_after=bidder_1)
  turn 32: Math-T1 RAISE to 2550 (before=2450, leader_after=bidder_5)
  turn 33: Mimic-Llama RAISE to 2650 (before=2550, leader_after=bidder_1)
  turn 34: Math-T1 RAISE to 2750 (before=2650, leader_after=bidder_5)
  turn 35: Mimic-Llama RAISE to 2850 (before=2750, leader_after=bidder_1)
  turn 36: Math-T1 RAISE to 2950 (before=2850, leader_after=bidder_5)
  turn 37: Mimic-Llama RAISE to 3050 (before=2950, leader_after=bidder_1)
  turn 38: Math-T1 RAISE to 3300 (before=3050, leader_after=bidder_5)
  turn 39: Mimic-Llama RAISE to 3550 (before=3300, leader_after=bidder_1)
  turn 40: Math-T1 RAISE to 3800 (before=3550, leader_after=bidder_5)
  turn 41: Mimic-Llama RAISE to 4050 (before=3800, leader_after=bidder_1)
  turn 42: Math-T1 RAISE to 4300 (before=4050, leader_after=bidder_5)
  turn 43: Mimic-Llama PASS (before=4300, leader_after=bidder_5)

painting_3 | status=sold | winner=Mimic-Llama | winning_bid=4750
  turn 1: Mimic-Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 250 (before=150, leader_after=bidder_3)
  turn 4: Mimic-GPT-5.4 RAISE to 300 (before=250, leader_after=bidder_4)
  turn 5: Math-T1 RAISE to 350 (before=300, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 400 (before=350, leader_after=bidder_1)
  turn 7: Mimic-Grok RAISE to 450 (before=400, leader_after=bidder_2)
