Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 3579.167

painting_1 | status=sold | winner=Math-T1 | winning_bid=1100
  turn 1: Mimic-Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Math-T1 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Mimic-Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Mimic-Grok RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Mimic-Opus RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Mimic-GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Math-T1 RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Mimic-Llama RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Mimic-Grok RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Mimic-Opus RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Mimic-GPT-5.4 RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Math-T1 RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Mimic-Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Mimic-Grok RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Mimic-Opus RAISE to 950 (before=850, leader_after=bidder_2)
  turn 18: Mimic-GPT-5.4 RAISE to 1000 (before=950, leader_after=bidder_3)
  turn 19: Math-T1 RAISE to 1100 (before=1000, leader_after=bidder_4)
  turn 20: Mimic-Llama PASS (before=1100, leader_after=bidder_4)
  turn 21: Mimic-Grok PASS (before=1100, leader_after=bidder_4)
  turn 22: Mimic-Opus PASS (before=1100, leader_after=bidder_4)
  turn 23: Mimic-GPT-5.4 PASS (before=1100, leader_after=bidder_4)

painting_2 | status=sold | winner=Math-T1 | winning_bid=3750
  turn 1: Mimic-Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-GPT-5.4 RAISE to 250 (before=150, leader_after=bidder_3)
  turn 4: Math-T1 RAISE to 300 (before=250, leader_after=bidder_4)
  turn 5: Mimic-Llama RAISE to 350 (before=300, leader_after=bidder_5)
  turn 6: Mimic-Grok RAISE to 500 (before=350, leader_after=bidder_1)
  turn 7: Mimic-Opus RAISE to 600 (before=500, leader_after=bidder_2)
  turn 8: Mimic-GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_3)
  turn 9: Math-T1 RAISE to 700 (before=650, leader_after=bidder_4)
  turn 10: Mimic-Llama RAISE to 750 (before=700, leader_after=bidder_5)
  turn 11: Mimic-Grok RAISE to 800 (before=750, leader_after=bidder_1)
  turn 12: Mimic-Opus RAISE to 850 (before=800, leader_after=bidder_2)
  turn 13: Mimic-GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_3)
  turn 14: Math-T1 RAISE to 950 (before=900, leader_after=bidder_4)
  turn 15: Mimic-Llama RAISE to 1000 (before=950, leader_after=bidder_5)
  turn 16: Mimic-Grok PASS (before=1000, leader_after=bidder_5)
  turn 17: Mimic-Opus RAISE to 1100 (before=1000, leader_after=bidder_2)
  turn 18: Mimic-GPT-5.4 PASS (before=1100, leader_after=bidder_2)
  turn 19: Math-T1 RAISE to 1200 (before=1100, leader_after=bidder_4)
  turn 20: Mimic-Llama RAISE to 1400 (before=1200, leader_after=bidder_5)
  turn 21: Mimic-Opus PASS (before=1400, leader_after=bidder_5)
  turn 22: Math-T1 RAISE to 1500 (before=1400, leader_after=bidder_4)
  turn 23: Mimic-Llama RAISE to 1700 (before=1500, leader_after=bidder_5)
  turn 24: Math-T1 RAISE to 1800 (before=1700, leader_after=bidder_4)
  turn 25: Mimic-Llama RAISE to 1900 (before=1800, leader_after=bidder_5)
  turn 26: Math-T1 RAISE to 2000 (before=1900, leader_after=bidder_4)
  turn 27: Mimic-Llama RAISE to 2100 (before=2000, leader_after=bidder_5)
  turn 28: Math-T1 RAISE to 2200 (before=2100, leader_after=bidder_4)
  turn 29: Mimic-Llama RAISE to 2300 (before=2200, leader_after=bidder_5)
