Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2191.667

painting_1 | status=sold | winner=Mimic-Pro | winning_bid=1400
  turn 1: Mimic-Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Math-T2 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Pro RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-Grok RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Mimic-Llama RAISE to 350 (before=250, leader_after=bidder_5)
  turn 6: Mimic-Opus RAISE to 450 (before=350, leader_after=bidder_1)
  turn 7: Math-T2 RAISE to 500 (before=450, leader_after=bidder_2)
  turn 8: Mimic-Pro RAISE to 550 (before=500, leader_after=bidder_3)
  turn 9: Mimic-Grok RAISE to 600 (before=550, leader_after=bidder_4)
  turn 10: Mimic-Llama RAISE to 650 (before=600, leader_after=bidder_5)
  turn 11: Mimic-Opus RAISE to 700 (before=650, leader_after=bidder_1)
  turn 12: Math-T2 RAISE to 750 (before=700, leader_after=bidder_2)
  turn 13: Mimic-Pro RAISE to 800 (before=750, leader_after=bidder_3)
  turn 14: Mimic-Grok RAISE to 850 (before=800, leader_after=bidder_4)
  turn 15: Mimic-Llama RAISE to 900 (before=850, leader_after=bidder_5)
  turn 16: Mimic-Opus PASS (before=900, leader_after=bidder_5)
  turn 17: Math-T2 PASS (before=900, leader_after=bidder_5)
  turn 18: Mimic-Pro RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Mimic-Grok PASS (before=950, leader_after=bidder_3)
  turn 20: Mimic-Llama RAISE to 1000 (before=950, leader_after=bidder_5)
  turn 21: Mimic-Pro RAISE to 1200 (before=1000, leader_after=bidder_3)
  turn 22: Mimic-Llama RAISE to 1300 (before=1200, leader_after=bidder_5)
  turn 23: Mimic-Pro RAISE to 1400 (before=1300, leader_after=bidder_3)
  turn 24: Mimic-Llama PASS (before=1400, leader_after=bidder_3)

painting_2 | status=sold | winner=Mimic-Llama | winning_bid=1000
  turn 1: Mimic-Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Math-T2 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Pro RAISE to 300 (before=150, leader_after=bidder_3)
  turn 4: Mimic-Grok RAISE to 350 (before=300, leader_after=bidder_4)
  turn 5: Mimic-Llama RAISE to 400 (before=350, leader_after=bidder_5)
  turn 6: Mimic-Opus RAISE to 500 (before=400, leader_after=bidder_1)
  turn 7: Math-T2 RAISE to 550 (before=500, leader_after=bidder_2)
  turn 8: Mimic-Pro RAISE to 650 (before=550, leader_after=bidder_3)
  turn 9: Mimic-Grok RAISE to 700 (before=650, leader_after=bidder_4)
  turn 10: Mimic-Llama RAISE to 750 (before=700, leader_after=bidder_5)
  turn 11: Mimic-Opus RAISE to 800 (before=750, leader_after=bidder_1)
  turn 12: Math-T2 RAISE to 850 (before=800, leader_after=bidder_2)
  turn 13: Mimic-Pro PASS (before=850, leader_after=bidder_2)
  turn 14: Mimic-Grok PASS (before=850, leader_after=bidder_2)
