Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2183.333

painting_1 | status=sold | winner=Mimic-Pro | winning_bid=1100
  turn 1: Mimic-Llama RAISE to 150 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Opus RAISE to 200 (before=150, leader_after=bidder_2)
  turn 3: Mimic-Grok RAISE to 250 (before=200, leader_after=bidder_3)
  turn 4: Mimic-Pro RAISE to 350 (before=250, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 400 (before=350, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 500 (before=400, leader_after=bidder_1)
  turn 7: Mimic-Opus RAISE to 600 (before=500, leader_after=bidder_2)
  turn 8: Mimic-Grok RAISE to 700 (before=600, leader_after=bidder_3)
  turn 9: Mimic-Pro RAISE to 750 (before=700, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 800 (before=750, leader_after=bidder_5)
  turn 11: Mimic-Llama RAISE to 900 (before=800, leader_after=bidder_1)
  turn 12: Mimic-Opus RAISE to 1000 (before=900, leader_after=bidder_2)
  turn 13: Mimic-Grok PASS (before=1000, leader_after=bidder_2)
  turn 14: Mimic-Pro RAISE to 1100 (before=1000, leader_after=bidder_4)
  turn 15: Math-T2 PASS (before=1100, leader_after=bidder_4)
  turn 16: Mimic-Llama PASS (before=1100, leader_after=bidder_4)
  turn 17: Mimic-Opus PASS (before=1100, leader_after=bidder_4)

painting_2 | status=sold | winner=Mimic-Llama | winning_bid=1100
  turn 1: Mimic-Llama RAISE to 150 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Opus RAISE to 250 (before=150, leader_after=bidder_2)
  turn 3: Mimic-Grok RAISE to 300 (before=250, leader_after=bidder_3)
  turn 4: Mimic-Pro RAISE to 350 (before=300, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 400 (before=350, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 450 (before=400, leader_after=bidder_1)
  turn 7: Mimic-Opus RAISE to 500 (before=450, leader_after=bidder_2)
  turn 8: Mimic-Grok RAISE to 550 (before=500, leader_after=bidder_3)
  turn 9: Mimic-Pro RAISE to 600 (before=550, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 650 (before=600, leader_after=bidder_5)
  turn 11: Mimic-Llama RAISE to 700 (before=650, leader_after=bidder_1)
  turn 12: Mimic-Opus RAISE to 800 (before=700, leader_after=bidder_2)
  turn 13: Mimic-Grok PASS (before=800, leader_after=bidder_2)
