Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2187.5

painting_1 | status=sold | winner=Mimic-Llama | winning_bid=950
  turn 1: Mimic-Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Pro RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-Llama RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Mimic-Opus RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Mimic-Grok RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Mimic-Pro RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Mimic-Llama RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Mimic-Opus RAISE to 650 (before=550, leader_after=bidder_1)
  turn 12: Mimic-Grok RAISE to 700 (before=650, leader_after=bidder_2)
  turn 13: Mimic-Pro RAISE to 850 (before=700, leader_after=bidder_3)
  turn 14: Mimic-Llama RAISE to 950 (before=850, leader_after=bidder_4)
  turn 15: Math-T2 PASS (before=950, leader_after=bidder_4)
  turn 16: Mimic-Opus PASS (before=950, leader_after=bidder_4)
  turn 17: Mimic-Grok PASS (before=950, leader_after=bidder_4)
  turn 18: Mimic-Pro PASS (before=950, leader_after=bidder_4)

painting_2 | status=sold | winner=Mimic-Grok | winning_bid=1300
  turn 1: Mimic-Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Pro RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-Llama RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Mimic-Opus RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Mimic-Grok RAISE to 450 (before=350, leader_after=bidder_2)
  turn 8: Mimic-Pro RAISE to 500 (before=450, leader_after=bidder_3)
  turn 9: Mimic-Llama RAISE to 550 (before=500, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 600 (before=550, leader_after=bidder_5)
  turn 11: Mimic-Opus RAISE to 650 (before=600, leader_after=bidder_1)
  turn 12: Mimic-Grok RAISE to 750 (before=650, leader_after=bidder_2)
  turn 13: Mimic-Pro RAISE to 800 (before=750, leader_after=bidder_3)
  turn 14: Mimic-Llama RAISE to 850 (before=800, leader_after=bidder_4)
  turn 15: Math-T2 RAISE to 900 (before=850, leader_after=bidder_5)
  turn 16: Mimic-Opus RAISE to 1000 (before=900, leader_after=bidder_1)
  turn 17: Mimic-Grok RAISE to 1100 (before=1000, leader_after=bidder_2)
  turn 18: Mimic-Pro RAISE to 1200 (before=1100, leader_after=bidder_3)
  turn 19: Mimic-Llama PASS (before=1200, leader_after=bidder_3)
  turn 20: Math-T2 PASS (before=1200, leader_after=bidder_3)
  turn 21: Mimic-Opus PASS (before=1200, leader_after=bidder_3)
  turn 22: Mimic-Grok RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 23: Mimic-Pro PASS (before=1300, leader_after=bidder_2)

painting_3 | status=sold | winner=Mimic-Llama | winning_bid=1050
  turn 1: Mimic-Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Grok PASS (before=100, leader_after=bidder_1)
  turn 3: Mimic-Pro PASS (before=100, leader_after=bidder_1)
  turn 4: Mimic-Llama RAISE to 150 (before=100, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 200 (before=150, leader_after=bidder_5)
  turn 6: Mimic-Opus RAISE to 250 (before=200, leader_after=bidder_1)
  turn 7: Mimic-Llama RAISE to 300 (before=250, leader_after=bidder_4)
  turn 8: Math-T2 RAISE to 350 (before=300, leader_after=bidder_5)
  turn 9: Mimic-Opus RAISE to 400 (before=350, leader_after=bidder_1)
  turn 10: Mimic-Llama RAISE to 450 (before=400, leader_after=bidder_4)
  turn 11: Math-T2 RAISE to 500 (before=450, leader_after=bidder_5)
  turn 12: Mimic-Opus RAISE to 600 (before=500, leader_after=bidder_1)
  turn 13: Mimic-Llama RAISE to 650 (before=600, leader_after=bidder_4)
  turn 14: Math-T2 RAISE to 700 (before=650, leader_after=bidder_5)
  turn 15: Mimic-Opus RAISE to 750 (before=700, leader_after=bidder_1)
  turn 16: Mimic-Llama RAISE to 800 (before=750, leader_after=bidder_4)
  turn 17: Math-T2 RAISE to 850 (before=800, leader_after=bidder_5)
  turn 18: Mimic-Opus PASS (before=850, leader_after=bidder_5)
  turn 19: Mimic-Llama RAISE to 900 (before=850, leader_after=bidder_4)
  turn 20: Math-T2 RAISE to 950 (before=900, leader_after=bidder_5)
  turn 21: Mimic-Llama RAISE to 1050 (before=950, leader_after=bidder_4)
  turn 22: Math-T2 PASS (before=1050, leader_after=bidder_4)

painting_4 | status=sold | winner=Mimic-Pro | winning_bid=1500
  turn 1: Mimic-Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Pro RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-Llama RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Mimic-Opus RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Mimic-Grok RAISE to 450 (before=350, leader_after=bidder_2)
  turn 8: Mimic-Pro RAISE to 500 (before=450, leader_after=bidder_3)
  turn 9: Mimic-Llama RAISE to 550 (before=500, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 600 (before=550, leader_after=bidder_5)
  turn 11: Mimic-Opus RAISE to 650 (before=600, leader_after=bidder_1)
  turn 12: Mimic-Grok RAISE to 700 (before=650, leader_after=bidder_2)
  turn 13: Mimic-Pro RAISE to 750 (before=700, leader_after=bidder_3)
  turn 14: Mimic-Llama RAISE to 850 (before=750, leader_after=bidder_4)
  turn 15: Math-T2 RAISE to 900 (before=850, leader_after=bidder_5)
  turn 16: Mimic-Opus RAISE to 1000 (before=900, leader_after=bidder_1)
  turn 17: Mimic-Grok PASS (before=1000, leader_after=bidder_1)
  turn 18: Mimic-Pro RAISE to 1100 (before=1000, leader_after=bidder_3)
  turn 19: Mimic-Llama RAISE to 1200 (before=1100, leader_after=bidder_4)
  turn 20: Math-T2 PASS (before=1200, leader_after=bidder_4)
  turn 21: Mimic-Opus RAISE to 1400 (before=1200, leader_after=bidder_1)
  turn 22: Mimic-Pro RAISE to 1500 (before=1400, leader_after=bidder_3)
  turn 23: Mimic-Llama PASS (before=1500, leader_after=bidder_3)
  turn 24: Mimic-Opus PASS (before=1500, leader_after=bidder_3)

painting_5 | status=sold | winner=Mimic-Opus | winning_bid=1400
  turn 1: Mimic-Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Pro RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-Llama RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Mimic-Opus RAISE to 400 (before=300, leader_after=bidder_1)
  turn 7: Mimic-Grok RAISE to 450 (before=400, leader_after=bidder_2)
  turn 8: Mimic-Pro RAISE to 500 (before=450, leader_after=bidder_3)
  turn 9: Mimic-Llama RAISE to 550 (before=500, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 600 (before=550, leader_after=bidder_5)
  turn 11: Mimic-Opus RAISE to 700 (before=600, leader_after=bidder_1)
  turn 12: Mimic-Grok PASS (before=700, leader_after=bidder_1)
  turn 13: Mimic-Pro RAISE to 750 (before=700, leader_after=bidder_3)
  turn 14: Mimic-Llama RAISE to 800 (before=750, leader_after=bidder_4)
  turn 15: Math-T2 RAISE to 850 (before=800, leader_after=bidder_5)
  turn 16: Mimic-Opus RAISE to 900 (before=850, leader_after=bidder_1)
  turn 17: Mimic-Pro RAISE to 950 (before=900, leader_after=bidder_3)
  turn 18: Mimic-Llama RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 19: Math-T2 RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 20: Mimic-Opus RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 21: Mimic-Pro PASS (before=1200, leader_after=bidder_1)
  turn 22: Mimic-Llama PASS (before=1200, leader_after=bidder_1)
  turn 23: Math-T2 RAISE to 1300 (before=1200, leader_after=bidder_5)
  turn 24: Mimic-Opus RAISE to 1400 (before=1300, leader_after=bidder_1)
  turn 25: Math-T2 PASS (before=1400, leader_after=bidder_1)

painting_6 | status=sold | winner=Mimic-Llama | winning_bid=1600
  turn 1: Mimic-Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Pro RAISE to 250 (before=150, leader_after=bidder_3)
  turn 4: Mimic-Llama RAISE to 300 (before=250, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 350 (before=300, leader_after=bidder_5)
  turn 6: Mimic-Opus RAISE to 450 (before=350, leader_after=bidder_1)
  turn 7: Mimic-Grok RAISE to 500 (before=450, leader_after=bidder_2)
  turn 8: Mimic-Pro RAISE to 650 (before=500, leader_after=bidder_3)
  turn 9: Mimic-Llama RAISE to 700 (before=650, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 750 (before=700, leader_after=bidder_5)
  turn 11: Mimic-Opus RAISE to 800 (before=750, leader_after=bidder_1)
  turn 12: Mimic-Grok RAISE to 950 (before=800, leader_after=bidder_2)
  turn 13: Mimic-Pro RAISE to 1000 (before=950, leader_after=bidder_3)
  turn 14: Mimic-Llama RAISE to 1100 (before=1000, leader_after=bidder_4)
  turn 15: Math-T2 RAISE to 1200 (before=1100, leader_after=bidder_5)
  turn 16: Mimic-Opus PASS (before=1200, leader_after=bidder_5)
  turn 17: Mimic-Grok PASS (before=1200, leader_after=bidder_5)
  turn 18: Mimic-Pro PASS (before=1200, leader_after=bidder_5)
  turn 19: Mimic-Llama RAISE to 1300 (before=1200, leader_after=bidder_4)
  turn 20: Math-T2 RAISE to 1400 (before=1300, leader_after=bidder_5)
  turn 21: Mimic-Llama RAISE to 1600 (before=1400, leader_after=bidder_4)
  turn 22: Math-T2 PASS (before=1600, leader_after=bidder_4)

painting_7 | status=sold | winner=Mimic-Opus | winning_bid=1800
  turn 1: Mimic-Opus RAISE to 100 (before=0, leader_after=bidder_1)
