Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2320.833

painting_1 | status=sold | winner=Mimic-GPT-5.4 | winning_bid=900
  turn 1: Mimic-Llama RAISE to 150 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Grok RAISE to 200 (before=150, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 250 (before=200, leader_after=bidder_3)
  turn 4: Mimic-GPT-5.4 RAISE to 350 (before=250, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 400 (before=350, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 450 (before=400, leader_after=bidder_1)
  turn 7: Mimic-Grok RAISE to 600 (before=450, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 700 (before=600, leader_after=bidder_3)
  turn 9: Mimic-GPT-5.4 RAISE to 750 (before=700, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 800 (before=750, leader_after=bidder_5)
  turn 11: Mimic-Llama PASS (before=800, leader_after=bidder_5)
  turn 12: Mimic-Grok PASS (before=800, leader_after=bidder_5)
  turn 13: Mimic-Opus PASS (before=800, leader_after=bidder_5)
  turn 14: Mimic-GPT-5.4 RAISE to 900 (before=800, leader_after=bidder_4)
  turn 15: Math-T2 PASS (before=900, leader_after=bidder_4)

painting_2 | status=sold | winner=Mimic-Llama | winning_bid=1050
  turn 1: Mimic-Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-GPT-5.4 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Mimic-Grok RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Mimic-GPT-5.4 RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Mimic-Llama RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Mimic-Grok RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Mimic-GPT-5.4 RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: Math-T2 RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Mimic-Llama RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Mimic-Grok PASS (before=850, leader_after=bidder_1)
  turn 18: Mimic-Opus RAISE to 900 (before=850, leader_after=bidder_3)
  turn 19: Mimic-GPT-5.4 PASS (before=900, leader_after=bidder_3)
  turn 20: Math-T2 RAISE to 950 (before=900, leader_after=bidder_5)
  turn 21: Mimic-Llama RAISE to 1050 (before=950, leader_after=bidder_1)
  turn 22: Mimic-Opus PASS (before=1050, leader_after=bidder_1)
  turn 23: Math-T2 PASS (before=1050, leader_after=bidder_1)

painting_3 | status=sold | winner=Mimic-Llama | winning_bid=1150
  turn 1: Mimic-Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-GPT-5.4 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Mimic-Grok RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Mimic-GPT-5.4 RAISE to 550 (before=450, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 600 (before=550, leader_after=bidder_5)
  turn 11: Mimic-Llama RAISE to 650 (before=600, leader_after=bidder_1)
  turn 12: Mimic-Grok RAISE to 750 (before=650, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 800 (before=750, leader_after=bidder_3)
  turn 14: Mimic-GPT-5.4 RAISE to 850 (before=800, leader_after=bidder_4)
  turn 15: Math-T2 RAISE to 900 (before=850, leader_after=bidder_5)
  turn 16: Mimic-Llama RAISE to 950 (before=900, leader_after=bidder_1)
  turn 17: Mimic-Grok PASS (before=950, leader_after=bidder_1)
  turn 18: Mimic-Opus RAISE to 1050 (before=950, leader_after=bidder_3)
  turn 19: Mimic-GPT-5.4 PASS (before=1050, leader_after=bidder_3)
  turn 20: Math-T2 PASS (before=1050, leader_after=bidder_3)
  turn 21: Mimic-Llama RAISE to 1150 (before=1050, leader_after=bidder_1)
  turn 22: Mimic-Opus PASS (before=1150, leader_after=bidder_1)

painting_4 | status=sold | winner=Mimic-Grok | winning_bid=2350
  turn 1: Mimic-Llama RAISE to 150 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Grok RAISE to 250 (before=150, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 300 (before=250, leader_after=bidder_3)
  turn 4: Mimic-GPT-5.4 RAISE to 450 (before=300, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 500 (before=450, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 600 (before=500, leader_after=bidder_1)
  turn 7: Mimic-Grok RAISE to 650 (before=600, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 750 (before=650, leader_after=bidder_3)
  turn 9: Mimic-GPT-5.4 RAISE to 800 (before=750, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 850 (before=800, leader_after=bidder_5)
  turn 11: Mimic-Llama RAISE to 900 (before=850, leader_after=bidder_1)
  turn 12: Mimic-Grok RAISE to 1050 (before=900, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 1150 (before=1050, leader_after=bidder_3)
  turn 14: Mimic-GPT-5.4 RAISE to 1250 (before=1150, leader_after=bidder_4)
  turn 15: Math-T2 PASS (before=1250, leader_after=bidder_4)
  turn 16: Mimic-Llama RAISE to 1350 (before=1250, leader_after=bidder_1)
  turn 17: Mimic-Grok RAISE to 1450 (before=1350, leader_after=bidder_2)
  turn 18: Mimic-Opus RAISE to 1650 (before=1450, leader_after=bidder_3)
  turn 19: Mimic-GPT-5.4 PASS (before=1650, leader_after=bidder_3)
  turn 20: Mimic-Llama RAISE to 1750 (before=1650, leader_after=bidder_1)
  turn 21: Mimic-Grok RAISE to 2050 (before=1750, leader_after=bidder_2)
  turn 22: Mimic-Opus RAISE to 2150 (before=2050, leader_after=bidder_3)
  turn 23: Mimic-Llama PASS (before=2150, leader_after=bidder_3)
  turn 24: Mimic-Grok RAISE to 2350 (before=2150, leader_after=bidder_2)
  turn 25: Mimic-Opus PASS (before=2350, leader_after=bidder_2)

painting_5 | status=sold | winner=Mimic-Opus | winning_bid=1500
  turn 1: Mimic-Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Grok RAISE to 200 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 250 (before=200, leader_after=bidder_3)
  turn 4: Mimic-GPT-5.4 RAISE to 300 (before=250, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 350 (before=300, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 400 (before=350, leader_after=bidder_1)
  turn 7: Mimic-Grok RAISE to 450 (before=400, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 500 (before=450, leader_after=bidder_3)
  turn 9: Mimic-GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 600 (before=550, leader_after=bidder_5)
  turn 11: Mimic-Llama RAISE to 650 (before=600, leader_after=bidder_1)
  turn 12: Mimic-Grok RAISE to 700 (before=650, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 750 (before=700, leader_after=bidder_3)
  turn 14: Mimic-GPT-5.4 RAISE to 800 (before=750, leader_after=bidder_4)
  turn 15: Math-T2 RAISE to 850 (before=800, leader_after=bidder_5)
