Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2191.667

painting_1 | status=sold | winner=Mimic-Llama | winning_bid=850
  turn 1: Mimic-Grok RAISE to 150 (before=0, leader_after=bidder_1)
  turn 2: Mimic-GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_2)
  turn 3: Mimic-Llama RAISE to 300 (before=200, leader_after=bidder_3)
  turn 4: Mimic-Opus RAISE to 400 (before=300, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 450 (before=400, leader_after=bidder_5)
  turn 6: Mimic-Grok RAISE to 500 (before=450, leader_after=bidder_1)
  turn 7: Mimic-GPT-5.4 RAISE to 600 (before=500, leader_after=bidder_2)
  turn 8: Mimic-Llama RAISE to 650 (before=600, leader_after=bidder_3)
  turn 9: Mimic-Opus RAISE to 700 (before=650, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 750 (before=700, leader_after=bidder_5)
  turn 11: Mimic-Grok PASS (before=750, leader_after=bidder_5)
  turn 12: Mimic-GPT-5.4 RAISE to 800 (before=750, leader_after=bidder_2)
  turn 13: Mimic-Llama RAISE to 850 (before=800, leader_after=bidder_3)
  turn 14: Mimic-Opus PASS (before=850, leader_after=bidder_3)
  turn 15: Math-T2 PASS (before=850, leader_after=bidder_3)
  turn 16: Mimic-GPT-5.4 PASS (before=850, leader_after=bidder_3)

painting_2 | status=sold | winner=Mimic-GPT-5.4 | winning_bid=1100
  turn 1: Mimic-Grok PASS (before=0, leader_after=None)
  turn 2: Mimic-GPT-5.4 RAISE to 100 (before=0, leader_after=bidder_2)
  turn 3: Mimic-Llama RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: Mimic-Opus RAISE to 250 (before=150, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Mimic-GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_2)
  turn 7: Mimic-Llama RAISE to 400 (before=350, leader_after=bidder_3)
  turn 8: Mimic-Opus RAISE to 450 (before=400, leader_after=bidder_4)
  turn 9: Math-T2 RAISE to 500 (before=450, leader_after=bidder_5)
  turn 10: Mimic-GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_2)
  turn 11: Mimic-Llama RAISE to 600 (before=550, leader_after=bidder_3)
  turn 12: Mimic-Opus RAISE to 650 (before=600, leader_after=bidder_4)
  turn 13: Math-T2 RAISE to 700 (before=650, leader_after=bidder_5)
  turn 14: Mimic-GPT-5.4 RAISE to 850 (before=700, leader_after=bidder_2)
  turn 15: Mimic-Llama RAISE to 950 (before=850, leader_after=bidder_3)
  turn 16: Mimic-Opus RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 17: Math-T2 PASS (before=1000, leader_after=bidder_4)
  turn 18: Mimic-GPT-5.4 RAISE to 1100 (before=1000, leader_after=bidder_2)
  turn 19: Mimic-Llama PASS (before=1100, leader_after=bidder_2)
  turn 20: Mimic-Opus PASS (before=1100, leader_after=bidder_2)

painting_3 | status=sold | winner=Mimic-Opus | winning_bid=1900
  turn 1: Mimic-Grok RAISE to 150 (before=0, leader_after=bidder_1)
  turn 2: Mimic-GPT-5.4 RAISE to 250 (before=150, leader_after=bidder_2)
  turn 3: Mimic-Llama RAISE to 300 (before=250, leader_after=bidder_3)
  turn 4: Mimic-Opus RAISE to 350 (before=300, leader_after=bidder_4)
  turn 5: Math-T2 RAISE to 400 (before=350, leader_after=bidder_5)
  turn 6: Mimic-Grok RAISE to 450 (before=400, leader_after=bidder_1)
  turn 7: Mimic-GPT-5.4 RAISE to 500 (before=450, leader_after=bidder_2)
  turn 8: Mimic-Llama RAISE to 550 (before=500, leader_after=bidder_3)
  turn 9: Mimic-Opus RAISE to 600 (before=550, leader_after=bidder_4)
  turn 10: Math-T2 RAISE to 650 (before=600, leader_after=bidder_5)
  turn 11: Mimic-Grok PASS (before=650, leader_after=bidder_5)
  turn 12: Mimic-GPT-5.4 RAISE to 750 (before=650, leader_after=bidder_2)
