Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1250,700,1050,900,750,1250
painting_2,sold,Mimic-Llama,1300,750,950,1300,850,1200
painting_3,sold,Mimic-Pro,1400,850,1300,1000,900,1400
painting_4,sold,Mimic-Llama,1550,1350,1150,1550,1450,450
painting_5,sold,Mimic-Opus,2200,1600,2100,1000,2200,1100
painting_6,sold,Math-T3,1700,1700,1600,900,1500,950
painting_7,sold,Mimic-Llama,3000,1800,2800,3000,1500,950
painting_8,sold,Mimic-GPT-5.4,2600,2500,2600,1000,1700,1100
painting_9,sold,Math-T3,3000,3000,2700,1800,2600,2900
painting_10,sold,Mimic-Opus,4000,3250,3750,1800,4000,3000
painting_11,sold,Mimic-Pro,5850,4600,5600,2700,1000,5850
painting_12,sold,Math-T3,4400,4400,,4150,3750,1300

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,900,9100,0.91,12,12,0,2687.5
Mimic-GPT-5.4,1,7400,2600,0.26,12,12,0,2687.5
Mimic-Llama,3,4150,5850,0.585,12,12,0,2687.5
Mimic-Opus,2,3800,6200,0.62,12,12,0,2687.5
Mimic-Pro,3,1500,8500,0.85,12,12,0,2687.5
