Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1250,600,950,850,1050,1250
painting_2,sold,Mimic-Llama,1300,850,950,650,1300,1200
painting_3,sold,Mimic-Pro,1500,1100,850,1200,1400,1500
painting_4,sold,Mimic-Llama,1500,1300,900,850,1500,250
painting_5,sold,Math-T3,1500,1500,1400,1300,1100,850
painting_6,sold,Mimic-GPT-5.4,2000,1100,2000,1700,1500,1900
painting_7,sold,Mimic-Llama,2400,1600,1400,2200,2400,1100
painting_8,sold,Mimic-Grok,2700,2500,1400,2700,2400,950
painting_9,sold,Math-T3,2750,2750,2650,1850,1350,2350
painting_10,sold,Mimic-Pro,4300,3800,4050,1450,1650,4300
painting_11,sold,Mimic-Grok,6500,5500,6250,6500,3250,2300
painting_12,sold,Mimic-GPT-5.4,6100,5600,6100,500,4350,2200

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,2,5750,4250,0.425,12,12,0,2816.667
Mimic-GPT-5.4,2,1900,8100,0.81,12,12,0,2816.667
Mimic-Grok,2,800,9200,0.92,12,12,0,2816.667
Mimic-Llama,3,4800,5200,0.52,12,12,0,2816.667
Mimic-Pro,3,2950,7050,0.705,12,12,0,2816.667
