slot,painting_index,winner_model,winning_bid
850,1,Pro,1100
850,2,Llama,1400
850,3,Opus,1300
850,4,Opus,1600
850,5,Llama,1700
850,6,Llama,1850
850,7,GPT-5.4,1500
850,8,Llama,2350
850,9,Grok,2050
850,10,GPT-5.4,3250
850,11,Grok,2850
850,12,Pro,5750
851,1,Llama,1350
851,2,Opus,1400
851,3,Llama,1400
851,4,Llama,1700
851,5,Grok,1700
851,6,GPT-5.4,2000
851,7,Opus,2100
851,8,Pro,2700
851,9,Grok,3500
851,10,GPT-5.4,3750
851,11,Pro,4500
851,12,Opus,4100
852,1,Pro,1100
852,2,Llama,1450
852,3,Opus,1400
852,4,Llama,1100
852,5,GPT-5.4,1800
852,6,Grok,2450
852,7,Opus,2100
852,8,Pro,2150
852,9,GPT-5.4,2100
852,10,Grok,2700
852,11,Pro,6100
852,12,Llama,6250
853,1,Llama,1250
853,2,Opus,1450
853,3,Llama,1300
853,4,GPT-5.4,1300
853,5,Pro,1000
853,6,GPT-5.4,1600
853,7,Grok,2000
853,8,Llama,1800
853,9,Opus,2600
853,10,Llama,2900
853,11,Grok,3750
853,12,Opus,5750
854,1,Grok,1400
854,2,Llama,1200
854,3,Llama,1700
854,4,Opus,1800
854,5,Llama,1550
854,6,GPT-5.4,1650
854,7,Pro,1900
854,8,GPT-5.4,1800
854,9,Grok,2350
854,10,GPT-5.4,3550
854,11,Llama,4600
854,12,Opus,4000
855,1,Opus,1300
855,2,Llama,1500
855,3,Pro,1300
855,4,Pro,1500
855,5,Llama,2000
855,6,Opus,2000
855,7,Llama,2600
855,8,Grok,3050
855,9,GPT-5.4,3000
855,10,Grok,3000
855,11,Pro,5000
855,12,GPT-5.4,5350
856,1,Llama,1600
856,2,Opus,1200
856,3,Pro,1400
856,4,Llama,1250
856,5,Grok,1800
856,6,Llama,2200
856,7,GPT-5.4,1900
856,8,GPT-5.4,1900
856,9,Opus,1950
856,10,Pro,2300
856,11,Grok,5000
856,12,GPT-5.4,5600
857,1,Pro,1400
857,2,Llama,1500
857,3,Pro,1600
857,4,Llama,2500
857,5,Opus,1900
857,6,Llama,1800
857,7,GPT-5.4,2100
857,8,Grok,3750
857,9,GPT-5.4,3300
857,10,Opus,3500
857,11,Pro,6300
857,12,Grok,4700
858,1,Pro,1100
858,2,Llama,1700
858,3,Opus,1600
858,4,Opus,1500
858,5,Llama,1600
858,6,Llama,2100
858,7,GPT-5.4,2100
858,8,Llama,2300
858,9,Grok,3250
858,10,Pro,3850
858,11,GPT-5.4,4250
858,12,Opus,5500
859,1,Llama,1200
859,2,Opus,1000
859,3,GPT-5.4,1600
859,4,Grok,1800
859,5,Llama,1700
859,6,Llama,1800
859,7,Pro,1950
859,8,GPT-5.4,2900
859,9,Opus,2500
859,10,Grok,2900
859,11,Pro,4750
859,12,Opus,5150
860,1,Pro,1200
860,2,Llama,1300
860,3,Llama,1400
860,4,Opus,1700
860,5,GPT-5.4,1500
860,6,Llama,2000
860,7,Grok,1900
860,8,GPT-5.4,2200
860,9,Llama,2800
860,10,Pro,4250
860,11,Grok,6500
860,12,Opus,6300
861,1,Pro,1300
861,2,Llama,1250
861,3,Llama,1400
861,4,Opus,1300
861,5,Pro,1700
861,6,Opus,1950
861,7,Llama,2800
861,8,GPT-5.4,2450
861,9,Grok,4100
861,10,GPT-5.4,3650
861,11,Pro,4500
861,12,Opus,4350
862,1,Llama,1100
862,2,Grok,1700
862,3,Llama,1700
862,4,Opus,1400
862,5,Opus,1700
862,6,Llama,2300
862,7,GPT-5.4,2300
862,8,Llama,2700
862,9,Pro,2400
862,10,GPT-5.4,3300
862,11,Grok,3000
862,12,Pro,5250
863,1,Opus,1300
863,2,Llama,1050
863,3,Llama,1450
863,4,Pro,2100
863,5,GPT-5.4,1750
863,6,Llama,1550
863,7,Llama,2400
863,8,Grok,2400
863,9,GPT-5.4,2600
863,10,Pro,3250
863,11,Opus,2700
863,12,Opus,4750
864,1,Llama,1400
864,2,Opus,1250
864,3,GPT-5.4,1500
864,4,Llama,1300
864,5,Pro,1400
864,6,Llama,2700
864,7,Grok,1700
864,8,GPT-5.4,1500
864,9,Opus,2200
864,10,Pro,4850
864,11,Grok,4250
864,12,Opus,6000
865,1,Pro,1400
865,2,Llama,1000
865,3,Llama,1300
865,4,GPT-5.4,1550
865,5,Opus,1500
865,6,Llama,2200
865,7,Llama,1750
865,8,Grok,2250
865,9,GPT-5.4,2400
865,10,Opus,3250
865,11,GPT-5.4,3750
865,12,Opus,4500
866,1,Pro,1100
866,2,Llama,1500
866,3,Llama,1300
866,4,Opus,1050
866,5,GPT-5.4,1400
866,6,Llama,1900
866,7,Llama,1900
866,8,Grok,2400
866,9,Grok,2200
866,10,GPT-5.4,3250
866,11,Opus,3550
866,12,Pro,5150
867,1,Llama,1350
867,2,Pro,1500
867,3,Llama,1100
867,4,Opus,1800
867,5,Opus,1800
867,6,Llama,1600
867,7,GPT-5.4,1700
867,8,Llama,4350
867,9,Grok,2500
867,10,GPT-5.4,3750
867,11,Pro,5000
867,12,Grok,6000
868,1,Llama,1400
868,2,Opus,1300
868,3,Pro,1200
868,4,Llama,1600
868,5,Pro,1600
868,6,Opus,2000
868,7,Llama,1800
868,8,GPT-5.4,3250
868,9,Grok,3600
868,10,Pro,3750
868,11,Opus,5000
868,12,GPT-5.4,4700
869,1,Llama,1050
869,2,Pro,1200
869,3,Opus,2100
869,4,Pro,1800
869,5,Llama,1600
869,6,GPT-5.4,1800
869,7,Llama,2700
869,8,Grok,2850
869,9,Pro,3250
869,10,GPT-5.4,4750
869,11,Opus,4250
869,12,Grok,4750
870,1,Llama,950
870,2,Opus,1700
870,3,Llama,1750
870,4,Grok,1700
870,5,GPT-5.4,1250
870,6,Llama,2300
870,7,GPT-5.4,1600
870,8,Llama,2800
870,9,GPT-5.4,1950
870,10,Pro,3600
870,11,Opus,4150
870,12,Pro,4850
871,1,Opus,1300
871,2,Llama,1550
871,3,GPT-5.4,1150
871,4,Llama,1400
871,5,Pro,1150
871,6,Llama,2100
871,7,Grok,2000
871,8,Pro,2100
871,9,GPT-5.4,2350
871,10,Grok,2800
871,11,Pro,5100
871,12,Opus,4750
872,1,Llama,1500
872,2,Opus,1500
872,3,GPT-5.4,1300
872,4,Llama,1800
872,5,Pro,1450
872,6,Grok,1900
872,7,Opus,1700
872,8,Grok,2300
872,9,GPT-5.4,2700
872,10,Pro,3850
872,11,Pro,4250
872,12,Llama,5000
873,1,GPT-5.4,1000
873,2,Llama,1200
873,3,Pro,1550
873,4,Llama,1500
873,5,Opus,1700
873,6,Llama,1750
873,7,Llama,2100
873,8,GPT-5.4,2100
873,9,Grok,2100
873,10,Grok,2300
873,11,Pro,4500
873,12,Opus,5250
874,1,Pro,1100
874,2,Llama,1900
874,3,Llama,1400
874,4,Opus,1700
874,5,Opus,1700
874,6,GPT-5.4,1700
874,7,Llama,4250
874,8,GPT-5.4,1800
874,9,Grok,2250
874,10,Pro,3250
874,11,GPT-5.4,3750
874,12,Opus,5500
875,1,Pro,900
875,2,Llama,1500
875,3,Llama,1700
875,4,GPT-5.4,1500
875,5,Grok,1400
875,6,Opus,2000
875,7,Pro,1900
875,8,Grok,2200
875,9,Llama,2400
875,10,Opus,3750
875,11,GPT-5.4,4250
875,12,Pro,3800
876,1,Pro,1750
876,2,Llama,1600
876,3,Llama,1700
876,4,Opus,1500
876,5,GPT-5.4,1100
876,6,Llama,2000
876,7,Llama,2300
876,8,GPT-5.4,1900
876,9,Grok,2700
876,10,Opus,2900
876,11,GPT-5.4,4000
876,12,Opus,2600
877,1,Opus,1200
877,2,Llama,800
877,3,Llama,1500
877,4,Pro,1300
877,5,Grok,1400
877,6,Llama,2100
877,7,GPT-5.4,1800
877,8,GPT-5.4,1850
877,9,Grok,2300
877,10,Pro,2200
877,11,Opus,5050
877,12,Pro,3000
878,1,GPT-5.4,1300
878,2,Llama,1200
878,3,Opus,1600
878,4,Pro,1400
878,5,Llama,1700
878,6,Grok,3100
878,7,GPT-5.4,1700
878,8,Llama,2700
878,9,Pro,2200
878,10,Grok,4500
878,11,Pro,4750
878,12,Opus,6550
879,1,Pro,900
879,2,Llama,1850
879,3,Opus,1700
879,4,Llama,1600
879,5,GPT-5.4,1200
879,6,Grok,1500
879,7,Opus,1600
879,8,Pro,1900
879,9,GPT-5.4,3250
879,10,Llama,3750
879,11,Pro,4250
879,12,Opus,5750
