painting,bidder,cond_mean_max_bid,unconditional_mean_max_bid,n_bids,n_auctions_present,participation_rate
1,GPT-5.4,437.5,350,16,20,0.8
1,Opus,950,950,20,20,1.0
1,Pro,237.5,47.5,4,20,0.2
1,Grok,147.2,132.5,18,20,0.9
1,Llama,1240,1240,20,20,1.0
2,GPT-5.4,647.1,550,17,20,0.85
2,Opus,1192.1,1132.5,19,20,0.95
2,Pro,258.3,77.5,6,20,0.3
2,Grok,264.7,225,17,20,0.85
2,Llama,1350,1215,18,20,0.9
3,GPT-5.4,342.1,325,19,20,0.95
3,Opus,1155.6,520,9,20,0.45
3,Pro,200,50,5,20,0.25
3,Grok,235.7,165,14,20,0.7
3,Llama,1045,522.5,10,20,0.5
4,GPT-5.4,717.5,717.5,20,20,1.0
4,Opus,432.4,367.5,17,20,0.85
4,Pro,272.2,122.5,9,20,0.45
4,Grok,197.1,167.5,17,20,0.85
4,Llama,730,365,10,20,0.5
5,GPT-5.4,555.6,500,18,20,0.9
5,Opus,520.6,442.5,17,20,0.85
5,Pro,310,77.5,5,20,0.25
5,Grok,243.8,195,16,20,0.8
5,Llama,403.3,302.5,15,20,0.75
6,GPT-5.4,632.4,537.5,17,20,0.85
6,Opus,636.1,572.5,18,20,0.9
6,Pro,331.2,132.5,8,20,0.4
6,Grok,276.3,262.5,19,20,0.95
6,Llama,457.1,320,14,20,0.7
7,GPT-5.4,550,412.5,15,20,0.75
7,Opus,530.8,345,13,20,0.65
7,Pro,304.5,167.5,11,20,0.55
7,Grok,257.5,257.5,20,20,1.0
7,Llama,334.4,267.5,16,20,0.8
8,GPT-5.4,664.7,565,17,20,0.85
8,Opus,521.4,365,14,20,0.7
8,Pro,308.3,92.5,6,20,0.3
8,Grok,302.6,287.5,19,20,0.95
8,Llama,329.2,197.5,12,20,0.6
9,GPT-5.4,584.4,467.5,16,20,0.8
9,Opus,556.7,417.5,15,20,0.75
9,Pro,366.7,165,9,20,0.45
9,Grok,855.4,812.6,19,20,0.95
9,Llama,496.2,322.5,13,20,0.65
10,GPT-5.4,1155.6,1040,18,20,0.9
10,Opus,803.3,602.5,15,20,0.75
10,Pro,,0,0,20,0.0
10,Grok,810.6,770.0,19,20,0.95
10,Llama,800,640,16,20,0.8
11,GPT-5.4,1967.8,1377.5,14,20,0.7
11,Opus,953.7,763.0,16,20,0.8
11,Pro,,0,0,20,0.0
11,Grok,3000,2850,19,20,0.95
11,Llama,1886.7,1415.0,15,20,0.75
12,GPT-5.4,6868.3,3777.6,11,20,0.55
12,Opus,3727.8,1677.5,9,20,0.45
12,Pro,200,10,1,20,0.05
12,Grok,6877,5157.8,15,20,0.75
12,Llama,8130.8,7317.8,18,20,0.9
