slot,painting_index,winner_model,winning_bid
840,1,Llama,1000
840,2,GPT-5.4,950
840,3,Opus,1400
840,4,Llama,1700
840,5,Pro,1200
840,6,Grok,1600
840,7,Pro,1700
840,8,Llama,2100
840,9,GPT-5.4,2000
840,10,Grok,2500
840,11,Pro,7100
840,12,Opus,7100
841,1,Pro,1100
841,2,Llama,950
841,3,Opus,1000
841,4,GPT-5.4,1200
841,5,GPT-5.4,1200
841,6,Grok,1500
841,7,Pro,1600
841,8,Llama,1900
841,9,Llama,2300
841,10,Pro,2900
841,11,Opus,4000
841,12,Grok,7601
842,1,Pro,1000
842,2,Llama,1500
842,3,Grok,1000
842,4,Opus,1100
842,5,GPT-5.4,1300
842,6,Llama,1600
842,7,Pro,1700
842,8,Opus,2000
842,9,Llama,2400
842,10,Grok,3500
842,11,GPT-5.4,7151
842,12,Pro,7300
843,1,Llama,1210
843,2,Pro,1100
843,3,Llama,2100
843,4,GPT-5.4,1200
843,5,Opus,1200
843,6,Llama,1700
843,7,Grok,1700
843,8,Pro,2000
843,9,GPT-5.4,2300
843,10,Grok,2500
843,11,Pro,6501
843,12,Opus,6501
844,1,Pro,1000
844,2,Llama,950
844,3,Opus,1300
844,4,Llama,1200
844,5,GPT-5.4,1400
844,6,Llama,1500
844,7,GPT-5.4,1600
844,8,Llama,2200
844,9,Grok,2300
844,10,Pro,2600
844,11,Opus,6650
844,12,Grok,7250
845,1,Pro,1200
845,2,Llama,950
845,3,Opus,1400
845,4,GPT-5.4,1100
845,5,Llama,1300
845,6,Grok,2700
845,7,Opus,1600
845,8,Llama,2000
845,9,GPT-5.4,2300
845,10,Pro,3250
845,11,Grok,5800
845,12,Opus,6601
846,1,GPT-5.4,1100
846,2,Llama,1200
846,3,Llama,1900
846,4,Pro,1200
846,5,Grok,1300
846,6,Llama,3000
846,7,Opus,1500
846,8,Opus,1800
846,9,GPT-5.4,2200
846,10,Pro,2900
846,11,Pro,3900
846,12,Opus,6700
847,1,Llama,1300
847,2,Pro,1100
847,3,Opus,1500
847,4,GPT-5.4,1100
847,5,Llama,1400
847,6,Grok,1400
847,7,GPT-5.4,1400
847,8,Llama,2100
847,9,Pro,2200
847,10,Grok,2800
847,11,Pro,6700
847,12,Opus,7501
848,1,Pro,1300
848,2,Llama,1200
848,3,Llama,1800
848,4,Opus,1200
848,5,GPT-5.4,1300
848,6,Llama,1500
848,7,Grok,1600
848,8,Opus,1800
848,9,GPT-5.4,2200
848,10,Grok,3000
848,11,GPT-5.4,3750
848,12,Pro,8700
849,1,GPT-5.4,950
849,2,Llama,1000
849,3,Llama,1600
849,4,Opus,1700
849,5,Pro,1300
849,6,Llama,1600
849,7,Llama,2100
849,8,Grok,1800
849,9,GPT-5.4,2100
849,10,Pro,2400
849,11,Opus,4000
849,12,Grok,7050
